pgs_id,trait_label,ancestry_display,eta,se,Q,I2,k_eval,auc_pooled,lo_pooled,hi_pooled
PGS000001,Invasive breast cancer,European,0.41798091603999493,0.014223045086744768,NA,NA,1,0.603,0.596307674186721,0.6096540063262076
PGS000002,ER-positive breast cancer,European,0.4683789335187336,0.023301780112152063,NA,NA,1,0.615,0.6041309356927054,0.6257555070128278
PGS000003,ER-negative breast cancer,European,0.3392157225669637,0.03639245701384594,NA,NA,1,0.584,0.5665739720792533,0.6012185376326681
PGS000004,Breast cancer,African,0.2958424308423159,0.016077840626235042,3.1953108529883094,37.40828069577125,3,0.5734258512811957,0.5657003686251141,0.5811156683960957
PGS000004,Breast cancer,East Asian,0.5753641449035619,0.08885374853781022,NA,NA,1,0.64,0.5989785324953741,0.6790735540176507
PGS000004,Breast cancer,European,0.5970307524782752,0.016002064272488122,187.22738814967389,99.46589010834217,2,0.6449766957616456,0.6377626902615964,0.6521253985793563
PGS000004,Breast cancer,Hispanic or Latin American,0.5783402472428596,0.05825309616704375,19.524578172488233,94.87825042279744,2,0.64068540789491,0.6140015689826309,0.6665264597450075
PGS000004,Breast cancer intrinsic-like subtype (HER2-enriched-like),European,0.4443707551934236,0.047664470065926556,NA,NA,1,0.6093,0.5868475430506218,0.6312988912197703
PGS000004,Breast cancer intrinsic-like subtype (luminal A-like),European,0.6512851063889673,0.01717014121286637,NA,NA,1,0.6573,0.6496797082517584,0.6648400451690516
PGS000004,Breast cancer intrinsic-like subtype (luminal B-like),European,0.5892803171589023,0.03269773832707665,NA,NA,1,0.6432,0.6283612010534982,0.65776900586969
PGS000004,Breast cancer intrinsic-like subtype (luminal B/HER2-negative-like),European,0.5476922077002406,0.03153816532820607,NA,NA,1,0.6336,0.6191347742573353,0.6478283365944243
PGS000004,Breast cancer intrinsic-like subtype (triple negative),European,0.3544653739057504,0.028625959100597603,NA,NA,1,0.5876999999999999,0.5740411880916501,0.6012250866199432
PGS000004,Incident breast cancer,African,0.3186696438906136,0.11989485722249964,NA,NA,1,0.579,0.5209067339279247,0.6349851474366712
PGS000004,Incident breast cancer,European,0.5335923325201131,0.013030365492814227,0.818734613478617,0,3,0.6303205760508064,0.6243498983066439,0.6362516430794686
PGS000004,Incident primary breast cancer,European,0.5406829578962615,0.011214882996607889,11.016548279226377,72.76823988819598,4,0.6319712768419575,0.6268441506728787,0.6370687438550502
PGS000004,Invasive breast cancer,European,0.5322168137473082,0.014433669259933758,NA,NA,1,0.6299999999999999,0.6233817042162161,0.6365697971829303
PGS000004,Prevalent invasive breast cancer,European,0.4895482253187058,0.06506985489918678,NA,NA,1,0.62,0.5895272280812456,0.6495553194482625
PGS000005,Breast cancer intrinsic-like subtype (HER2-enriched-like),European,0.5283577420804387,0.04858810767146255,NA,NA,1,0.6291,0.6066196543410117,0.6510346954658277
PGS000005,Breast cancer intrinsic-like subtype (luminal A-like),European,0.6610668465678021,0.017203301121301466,NA,NA,1,0.6595,0.6518879717281651,0.6670305974918189
PGS000005,Breast cancer intrinsic-like subtype (luminal B-like),European,0.5753641449035619,0.032591934706890924,NA,NA,1,0.64,0.6251542831839292,0.654582621966581
PGS000005,Breast cancer intrinsic-like subtype (luminal B/HER2-negative-like),European,0.542096576757341,0.03149828656895652,NA,NA,1,0.6323,0.6178328645946064,0.6465327957476177
PGS000005,Breast cancer intrinsic-like subtype (triple negative),European,0.5219344754559657,0.029635569144695822,NA,NA,1,0.6276,0.6139268108851679,0.6410720522657177
PGS000005,ER-positive breast cancer,African,0.3639653772014115,0.05258932684356546,NA,NA,1,0.59,0.564855133816419,0.6146830336735734
PGS000005,ER-positive breast cancer,European,0.5797070684323913,0.023378254620704343,NA,NA,1,0.641,0.630388930438786,0.6514748611068175
PGS000005,Estrogen-receptor positive breast cancer,African,0.3557035985491004,0.023170939629351687,NA,NA,1,0.588,0.5769556930290886,0.598956395751198
PGS000005,Male estrogen receptor positive breast cancer in BRCA1 carriers,European,0.4054651081081642,0.19390662385163615,NA,NA,1,0.6,0.5063516896368925,0.6868690288817261
PGS000005,Male estrogen receptor positive breast cancer in BRCA2 carriers,European,0.3639653772014115,0.08457809139927469,NA,NA,1,0.59,0.5493865258856743,0.6294221043314262
