trait_label,pgs_id,ancestry_display,I2,k_eval,Q,auc_pooled
Hayfever/allergic rhinitis,PGS001259,European,0,2,0.4203704601021139,0.6022118342631115
Hearing difficulty,PGS001253,European,0,2,0.33493071915297457,0.6248074109693733
Hearing difficulty and Deafness,PGS001252,European,0,2,0.38526604060562575,0.624715585410245
Heart attack (MI),PGS001315,European,82.40278886260664,2,5.682718654634089,0.7634409338456273
Hepatocellular carcinoma,PGS000865,European,0,2,0.1669816775678594,0.6379232766609051
Hepatocellular carcinoma,PGS000872,European,0,2,0.7007191204781853,0.6456957518650555
Hiatus hernia,PGS000939,European,92.19272556094168,2,12.808567289465156,0.653424721521363
High BP (FH),PGS001324,European,0,2,0.993675971611676,0.5853540289529067
High cholesterol,PGS000936,European,64.28802516836537,2,2.800181184923364,0.7300895190820852
High myopia (HM5),PGS003860,European,99.32546454720308,2,148.25017659984468,0.6058789287389738
High myopia (HM6),PGS003860,European,0,3,0.5510522907658281,0.7815180761705133
Hypertension,PGS001320,European,89.11978124928352,2,9.190991678675102,0.7220264629961958
Hypertension,PGS005120,Hispanic or Latin American,0,2,0.4386171218438678,0.7770002751169871
Hyperthyroidism/thyrotoxicosis,PGS001043,European,0,2,0.8482977144868926,0.7095975719732792
Hypertrophic cardiomyopathy,PGS000739,European,85.2140414682105,2,6.763173302900997,0.7585065176150173
Hypothyroidism/myxoedema,PGS000965,European,0,2,0.2815235860198312,0.767329371683723
Ibuprofen (e.g. Nurofen),PGS001116,European,0,2,0.05842273414890507,0.6188850785882545
Ibuprofen use self-reported,PGS001114,European,0,2,0.014854102419511,0.5985109371070763
Incident all-cause dementia,PGS005170,European,0,2,0.04727207528596708,0.7581609900023327
Incident atherosclerotic cardiovascular disease in individuals with borderline-intermediate risk of atherosclerotic cardiovascular disease,PGS000667,European,95.9649177861818,3,49.56528501825724,0.6308379328981127
Incident breast cancer,PGS000004,European,0,3,0.818734613478617,0.6303205760508064
Incident breast cancer,PGS000783,European,68.23028460940631,2,3.1476517422503503,0.6314549174135057
Incident colorectal cancer,PGS000720,European,0,2,0.2538782153762864,0.6109943888006205
Incident colorectal cancer,PGS000785,European,1.8281643564518744,2,1.018622085901396,0.7119705392761033
Incident coronary heart disease,PGS001780,European,99.9696300647764,2,3292.730105076872,0.8385102341255014
Incident hip fracture,PGS000657,European,98.13557704698464,2,53.63589835571848,0.7849482562662148
Incident hypothyroidism,PGS005218,European,97.13628414085191,2,34.919665538936705,0.6991112707908912
Incident invasive melanoma,PGS002246,European,0,2,0.344383834936565,0.679501776594718
Incident invasive melanoma,PGS002247,European,0,2,0.12555462861207967,0.6858481931747613
Incident invasive melanoma,PGS002253,European,0,2,0.24859589570352048,0.6607751179936991
Incident ischemic stroke,PGS000039,European,89.63276937442657,2,9.64577750911844,0.6293362279818733
Incident lung cancer,PGS000721,European,80.31845238602602,2,5.080901256413371,0.6032265475055643
Incident lung cancer,PGS000789,European,99.44933973744722,2,181.60017491804103,0.7667508216192565
Incident major osteoporotic fracture,PGS000657,European,99.12414475047032,2,114.1741173027144,0.7087218086212379
Incident primary breast cancer,PGS000004,European,72.76823988819598,4,11.016548279226376,0.6319712768419575
Incident prostate cancer,PGS000719,European,40.215196114030064,2,1.6726658531946377,0.6654778652741064
Incident prostate cancer,PGS000795,European,0,2,0.2721497581166813,0.7674950762484962
Incident type 2 diabetes,PGS001781,European,99.97186652452268,2,3554.4844105949473,0.7772828000484922
Inflammatory bowel disease,PGS001288,European,75.7862889440752,2,4.1298915217513175,0.6042401014589296
Inflammatory bowel disease,PGS003981,European,98.70079242167036,4,230.90998313425885,0.6504225573568226
Inflammatory bowel disease,PGS003997,European,98.72887909523756,4,236.01216758846897,0.6542217035997501
Inflammatory bowel disease,PGS004013,European,98.67293461815956,4,226.06271258763755,0.6559743592004298
Inflammatory bowel disease,PGS004023,European,98.84941502523463,4,260.7369351934882,0.6598253784587381
Inflammatory bowel disease,PGS004038,European,98.89634538189496,4,271.82416951699895,0.6622472153682927
Inflammatory bowel disease,PGS004051,European,98.89920056079278,4,272.52920860502627,0.6620772374887018
Inflammatory bowel disease,PGS004067,European,98.88313665105444,4,268.60940533435445,0.6628300309750214
Inflammatory bowel disease,PGS004081,European,98.76840375244454,4,243.5863218936064,0.6550267036153798
Inflammatory bowel disease,PGS004097,European,98.78392024263182,4,246.6943456482303,0.6551707084150242
Inflammatory bowel disease,PGS004105,European,97.79732104598344,4,136.19778745011976,0.615009824283207
Inflammatory bowel disease,PGS004121,European,98.50325720214327,4,200.43523872611317,0.6291037766943751
Inflammatory bowel disease,PGS004135,European,98.93894154579364,4,282.7365436943776,0.6579316344459228
Inflammatory bowel disease,PGS004151,European,98.95101573512105,4,285.99094385330386,0.668797434730385
Inflammatory bowel disease,PGS003981,South Asian,69.50255167401848,2,3.2789628473542667,0.668156378593095
Inflammatory bowel disease,PGS003997,South Asian,0,2,0.736049074135994,0.664200440339591
Inflammatory bowel disease,PGS004013,South Asian,22.759818646097063,2,1.294662936403722,0.6705794523138006
Inflammatory bowel disease,PGS004023,South Asian,64.9701869873268,2,2.8547112130978736,0.675838028370849
Inflammatory bowel disease,PGS004038,South Asian,65.79510977621709,2,2.923558571472019,0.6761318837700733
Inflammatory bowel disease,PGS004051,South Asian,71.76516955693673,2,3.541724828192407,0.6699193758847461
Inflammatory bowel disease,PGS004067,South Asian,67.28819530095207,2,3.057000398480322,0.664157600026253
Inflammatory bowel disease,PGS004081,South Asian,63.687028739692096,2,2.75383689434705,0.6622617541590414
Inflammatory bowel disease,PGS004097,South Asian,61.52436166041526,2,2.5990471975384333,0.6636226516048619
Inflammatory bowel disease,PGS004105,South Asian,0,2,0.20817792854727107,0.5951252639396961
Inflammatory bowel disease,PGS004121,South Asian,0,2,0.02253478972928703,0.6155777477825033
Inflammatory bowel disease,PGS004135,South Asian,0,2,0.96949897286677,0.6639184393094804
Inflammatory bowel disease,PGS004151,South Asian,62.96697423179572,2,2.700292453171832,0.6807971250780397
Inguinal hernia,PGS000948,European,84.38746132662024,2,6.405108233326942,0.8101568481168938
Iritis,PGS000966,European,0,2,0.05093544112464339,0.7811133431473084
JCV seropositivity for Human Polyomavirus JCV,PGS000976,European,0,2,0.4565283595231757,0.627202653192475
Juvenile Idiopathic Arthritis,PGS000114,European,88.83213408726418,4,26.86278670823584,0.6990557586269134
Leisure/social activities (attend adult edication class in once a week or more often),PGS001020,European,0,2,0.08940144647686771,0.634087355612051
"Leisure/social activities (attend any of the followings in once a week or more often: sports club, gym, pub, social club, religious group, adult edication class, or other group activity)",PGS001018,European,98.65557303657084,2,74.3811324230916,0.5529132774929627
Leisure/social activities (attend sports club or gym in once a week or more often),PGS001019,European,92.95455528167744,2,14.193568184551584,0.5600989883608872
"Light smokers, at least 100 smokes in lifetime",PGS001139,European,48.4804683443689,2,1.941011433652464,0.5758340640817721
"Loneliness, isolation",PGS001091,European,25.381601290362205,2,1.3401520500209272,0.5745815630195028
Low myopia,PGS003860,European,62.383916482619696,3,5.316874626450441,0.7209298083628947
Lung cancer (FH),PGS001392,European,47.37329181148757,2,1.900175850668699,0.5823976756191916
MCV seropositivity for Merkel Cell Polyomavirus,PGS000977,European,68.62318132620761,2,3.187066255494073,0.5926500947711926
Major dietary changes in the last 5 years becuase of illness,PGS001063,European,0,2,0.7522038459526608,0.5778693582710906
Malabsorption/coeliac disease,PGS001301,European,0,2,0.8610218198683777,0.8285398594383997
Male genital tract cancer,PGS001111,European,89.74698120672952,2,9.753225076075596,0.8591311461452772
Malignant melanoma,PGS001304,European,76.05805077338292,2,4.176769362154797,0.6134797650157227
Melanoma,PGS000743,European,86.7153762786677,2,7.52749961893321,0.7071951051150892
Microalbumin > 40 mg/L,PGS000972,European,14.06311926748579,2,1.1636447488856203,0.615107729225716
Migraine,PGS001281,European,0,2,0.01101531782318968,0.6511248677667921
Milk type: Skimmed,PGS001064,European,58.19135976940659,2,2.3918500924319743,0.5754780834707799
Moderate hyperopia,PGS003860,European,0,3,0.9037587865680003,0.7467020945730317
Moderate myopia,PGS003860,European,47.47869832244152,3,3.807978736472498,0.7494687994276715
Mouth ulcers,PGS000947,European,83.32397532169827,2,5.9966330063133455,0.5929103972470998
Multiple myeloma,PGS002281,European,0,2,0.9916562819497154,0.63606229790933555
Multiple sclerosis,PGS000809,European,0,2,0.43023870593161406,0.713067832985486
Multiple sclerosis,PGS001270,European,38.8283916381606,2,1.6347453120487652,0.6851459676699954
Multiple sclerosis,PGS002726,European,93.95251131907226,2,16.535789527870456,0.7355432097179753
Multiple sclerosis,PGS004699,European,31.45083372402598,2,1.4588069473727394,0.751699215793568
Multiple sclerosis,PGS004700,European,31.45083372402598,2,1.4588069473727394,0.751699215793568
Myocardial injury following non cardiac surgery,PGS000013,European,98.09763220139936,4,157.69821178673982,0.8125405157112879
Nasal polyps,PGS000934,European,0,2,0.7274092242692242,0.6445983585589958
Nasopharyngeal carcinoma,PGS002291,East Asian,91.71835076715024,2,12.074889576745507,0.6646376844688789
Never Smoker,PGS001127,European,93.4950113796281,2,15.37281705410312,0.6171389861699454
Never eat sugar,PGS000991,European,41.76444172798199,2,1.7171639281433602,0.6154708092432639
Never eat wheat,PGS001065,European,92.32255909081502,2,13.0251735158735,0.5954204321415468
Nicotine metabolism (slow vs normal) in treatment seeking smokers,PGS004909,European,0,2,1.9710260317094853e-30,0.78
Non-melanoma skin cancer,PGS001040,European,91.59763733603472,2,11.901414399650248,0.7135702746842301
Obesity in individuals aged 12-15.9,PGS000716,European,0,2,0.0057442934862395,0.7369668909716478
Obesity in individuals aged 12-15.9,PGS000717,European,0,2,0.00368193457052904,0.6620035678512458
Obesity in individuals aged 16-17.9,PGS000716,European,0,2,0.02988731639519733,0.6658820313184318
Obesity in individuals aged 16-17.9,PGS000717,European,0,2,0.1461984124131908,0.676487914046237
Obesity in individuals aged 18-23.9,PGS000716,European,0,2,0.00347137516784274,0.61849911682396
Obesity in individuals aged 18-23.9,PGS000717,European,0,2,0.09262708329983632,0.626433448683248
