ancestry_raw,ancestry_display,n
European,European,2275
East Asian,East Asian,1789
South Asian,South Asian,541
Middle Eastern or North African,Middle Eastern or North African,218
African,African,115
Hispanic or Latin American,Hispanic or Latin American,104
