pgs_id,group,pct,stage
PGS004154,African,3.9,GWAS (variant associations)
PGS004154,East Asian,8.7,GWAS (variant associations)
PGS004154,European,85.2,GWAS (variant associations)
PGS004154,Hispanic or Latin American,0.3,GWAS (variant associations)
PGS004154,Other/Mixed,0.1,GWAS (variant associations)
PGS004154,South Asian,1.7,GWAS (variant associations)
PGS004696,African,7,GWAS (variant associations)
PGS004696,East Asian,19.4,GWAS (variant associations)
PGS004696,European,70.7,GWAS (variant associations)
PGS004696,Hispanic or Latin American,2.8,GWAS (variant associations)
PGS004697,African,4.1,GWAS (variant associations)
PGS004697,East Asian,11.4,GWAS (variant associations)
PGS004697,European,82.9,GWAS (variant associations)
PGS004697,Hispanic or Latin American,1.6,GWAS (variant associations)
PGS004698,African,7,GWAS (variant associations)
PGS004698,East Asian,19.4,GWAS (variant associations)
PGS004698,European,70.7,GWAS (variant associations)
PGS004698,Hispanic or Latin American,2.8,GWAS (variant associations)
PGS004859,African,3.5,GWAS (variant associations)
PGS004859,European,81.9,GWAS (variant associations)
PGS004859,Hispanic or Latin American,1.3,GWAS (variant associations)
PGS004859,Multi-ancestry excluding European,13.4,GWAS (variant associations)
PGS005242,African,3.9,GWAS (variant associations)
PGS005242,European,77,GWAS (variant associations)
PGS005242,Hispanic or Latin American,1.4,GWAS (variant associations)
PGS005242,Multi-ancestry excluding European,14.9,GWAS (variant associations)
PGS005242,South Asian,2.8,GWAS (variant associations)
PGS005345,European,100,GWAS (variant associations)
PGS005346,European,100,GWAS (variant associations)
PGS005347,European,100,GWAS (variant associations)
PGS005348,European,100,GWAS (variant associations)
PGS000013,European,100,Score development/training
PGS000018,Multi-ancestry including European,100,Score development/training
PGS000330,European,100,Score development/training
PGS000713,European,100,Score development/training
PGS001295,European,100,Score development/training
PGS001336,European,100,Score development/training
PGS001800,European,100,Score development/training
PGS001801,European,100,Score development/training
PGS001818,European,100,Score development/training
PGS002026,European,100,Score development/training
PGS002238,European,100,Score development/training
PGS002239,European,100,Score development/training
PGS002250,European,100,Score development/training
PGS002780,European,100,Score development/training
PGS003394,European,100,Score development/training
PGS003443,Hispanic or Latin American,100,Score development/training
PGS003983,European,100,Score development/training
PGS003984,European,100,Score development/training
PGS003999,European,100,Score development/training
PGS004000,European,100,Score development/training
PGS004015,European,100,Score development/training
PGS004025,European,100,Score development/training
PGS004040,European,100,Score development/training
PGS004041,European,100,Score development/training
PGS004053,European,100,Score development/training
PGS004054,European,100,Score development/training
PGS004069,European,100,Score development/training
PGS004070,European,100,Score development/training
PGS004083,European,100,Score development/training
PGS004098,European,100,Score development/training
PGS004106,European,100,Score development/training
PGS004107,European,100,Score development/training
PGS004108,European,100,Score development/training
PGS004118,European,100,Score development/training
PGS004123,European,100,Score development/training
PGS004124,European,100,Score development/training
PGS004133,European,100,Score development/training
PGS004153,European,100,Score development/training
PGS004154,European,100,Score development/training
PGS004696,African,19.4,Score development/training
PGS004696,European,64.2,Score development/training
PGS004696,Hispanic or Latin American,11.4,Score development/training
PGS004696,Multi-ancestry excluding European,5,Score development/training
PGS004697,European,100,Score development/training
PGS004698,African,19.4,Score development/training
PGS004698,European,64.2,Score development/training
PGS004698,Hispanic or Latin American,11.4,Score development/training
PGS004698,Multi-ancestry excluding European,5,Score development/training
PGS005345,European,100,Score development/training
PGS005346,European,100,Score development/training
PGS005347,European,100,Score development/training
