trait_label,trained_bucket,target_ancestry,pgs_id,delta,delta_se,is_pooled,eur_k,tgt_k,eur_classes,tgt_classes,eur_covariates_txt,tgt_covariates_txt,covariate_matched,either_side_clinical,either_side_mixed_classes
Type 2 diabetes,Train: European-only,South Asian,PGS000868,0.015000000000000013,0.008072044175095803,FALSE,1,1,Age/sex/PCs/technical,Age/sex/PCs/technical,"Age at baseline, sex (PGS adjusted for 20 PCs prior to model fitting)","Age at baseline, sex assessment centre (PGS adjusted for 20 PCs prior to model fitting)",TRUE,FALSE,FALSE
Type 2 diabetes,Train: European-only,East Asian,PGS001295,0.15008413864048886,0.07255512431698782,FALSE,2,1,Age/sex/PCs/technical,Age/sex/PCs/technical,"age, sex, UKB array type, Genotype PCs","age, sex, UKB array type, Genotype PCs",TRUE,FALSE,FALSE
Type 2 diabetes,Train: European-only,South Asian,PGS001295,-0.02694586135951116,0.022258018566443404,FALSE,2,1,Age/sex/PCs/technical,Age/sex/PCs/technical,"age, sex, UKB array type, Genotype PCs","age, sex, UKB array type, Genotype PCs",TRUE,FALSE,FALSE
Breast cancer,Train: European-only,East Asian,PGS001336,-0.04832585954109281,0.02356378436844298,FALSE,2,1,Age/sex/PCs/technical,Age/sex/PCs/technical,"age, sex, UKB array type, Genotype PCs","age, sex, UKB array type, Genotype PCs",TRUE,FALSE,FALSE
Breast cancer,Train: European-only,South Asian,PGS001336,0.027114140458907254,0.011970684805512038,FALSE,2,1,Age/sex/PCs/technical,Age/sex/PCs/technical,"age, sex, UKB array type, Genotype PCs","age, sex, UKB array type, Genotype PCs",TRUE,FALSE,FALSE
Incident chronic obstructive pulmonary disease before age 50 years,Train: European-only,African,PGS001800,-0.10399999999999998,0.023239715325403063,FALSE,1,1,Clinical or other covariates,Clinical or other covariates,"PGS001801, early-life risk factors, principal components of genetic ancestry","PGS001801, early-life risk factors, principal components of genetic ancestry",TRUE,TRUE,FALSE
Incident chronic obstructive pulmonary disease before age 50 years,Train: European-only,African,PGS001801,-0.10399999999999998,0.023239715325403063,FALSE,1,1,Clinical or other covariates,Clinical or other covariates,"PGS001800, early-life risk factors, principal components of genetic ancestry","PGS001800, early-life risk factors, principal components of genetic ancestry",TRUE,TRUE,FALSE
Type 2 diabetes,Train: European-only,East Asian,PGS001818,0.02499999999999991,0.02819353661119786,FALSE,1,1,Age/sex/PCs/technical,Age/sex/PCs/technical,"Age at baseline, sex (PGS adjusted for 20 PCs prior to model fitting)","Age at baseline, sex assessment centre (PGS adjusted for 20 PCs prior to model fitting)",TRUE,FALSE,FALSE
Type 2 diabetes,Train: European-only,Hispanic or Latin American,PGS001818,0.05300000000000005,0.0043897104462959765,FALSE,1,1,Age/sex/PCs/technical,Age/sex/PCs/technical,"Age at baseline, sex (PGS adjusted for 20 PCs prior to model fitting)","Age at baseline, sex (PGS adjusted for 20 PCs prior to model fitting)",TRUE,FALSE,FALSE
Type 2 diabetes,Train: European-only,South Asian,PGS001818,0.014000000000000012,0.00807252380385844,FALSE,1,1,Age/sex/PCs/technical,Age/sex/PCs/technical,"Age at baseline, sex (PGS adjusted for 20 PCs prior to model fitting)","Age at baseline, sex assessment centre (PGS adjusted for 20 PCs prior to model fitting)",TRUE,FALSE,FALSE
Type 2 diabetes,Train: European-only,East Asian,PGS002026,0.008000000000000007,0.030036495786241027,FALSE,1,1,Age/sex/PCs/technical,Age/sex/PCs/technical,"Age at baseline, sex (PGS adjusted for 20 PCs prior to model fitting)","Age at baseline, sex assessment centre (PGS adjusted for 20 PCs prior to model fitting)",TRUE,FALSE,FALSE
Type 2 diabetes,Train: European-only,Hispanic or Latin American,PGS002026,0.050000000000000044,0.004389726952426251,FALSE,1,1,Age/sex/PCs/technical,Age/sex/PCs/technical,"Age at baseline, sex (PGS adjusted for 20 PCs prior to model fitting)","Age at baseline, sex (PGS adjusted for 20 PCs prior to model fitting)",TRUE,FALSE,FALSE
Type 2 diabetes,Train: European-only,South Asian,PGS002026,0.010000000000000009,0.00807256878693522,FALSE,1,1,Age/sex/PCs/technical,Age/sex/PCs/technical,"Age at baseline, sex (PGS adjusted for 20 PCs prior to model fitting)","Age at baseline, sex assessment centre (PGS adjusted for 20 PCs prior to model fitting)",TRUE,FALSE,FALSE
Apparent Treatment-Resistant Hypertension,Train: Multi incl. EUR,African,PGS002238,-0.014000000000000012,0.012711463735465082,FALSE,1,1,Clinical or other covariates,Clinical or other covariates,"age, age^2, bmi, sex, top 10 principal components of ancestry","age, age^2, bmi, sex, top 10 principal components of ancestry",TRUE,TRUE,FALSE
Apparent Treatment-Resistant Hypertension,Train: Multi incl. EUR,African,PGS002239,-0.016000000000000014,0.012618472365142085,FALSE,1,1,Clinical or other covariates,Clinical or other covariates,"age, age^2, bmi, sex, top 10 principal components of ancestry","age, age^2, bmi, sex, top 10 principal components of ancestry",TRUE,TRUE,FALSE
Epithelial non-mucinous ovarian cancer,Train: European-only,East Asian,PGS002250,-0.04999999999999993,0.013556131433691379,FALSE,1,1,None (PRS only),None (PRS only),,,TRUE,FALSE,FALSE
Type 2 diabetes,Train: Multi incl. EUR,Hispanic or Latin American,PGS002308,0.05800000000000016,0.009347754700621535,FALSE,1,1,Age/sex/PCs/technical,Age/sex/PCs/technical,"age, sex, top 10 PCs, study site","age, sex, top 10 PCs, study site",TRUE,FALSE,FALSE
Type 2 diabetes,Train: European-only,East Asian,PGS002671,0.03299999999999992,0.029230683537712788,FALSE,1,1,Age/sex/PCs/technical,Age/sex/PCs/technical,"Age at baseline, sex (PGS adjusted for 20 PCs prior to model fitting)","Age at baseline, sex assessment centre (PGS adjusted for 20 PCs prior to model fitting)",TRUE,FALSE,FALSE
Type 2 diabetes,Train: European-only,Hispanic or Latin American,PGS002671,0.05699999999999994,0.004245278293394148,FALSE,1,1,Age/sex/PCs/technical,Age/sex/PCs/technical,"Age at baseline, sex (PGS adjusted for 20 PCs prior to model fitting)","Age at baseline, sex (PGS adjusted for 20 PCs prior to model fitting)",TRUE,FALSE,FALSE
Type 2 diabetes,Train: European-only,South Asian,PGS002671,0.016999999999999904,0.007994821409419203,FALSE,1,1,Age/sex/PCs/technical,Age/sex/PCs/technical,"Age at baseline, sex (PGS adjusted for 20 PCs prior to model fitting)","Age at baseline, sex assessment centre (PGS adjusted for 20 PCs prior to model fitting)",TRUE,FALSE,FALSE
