trait_label,trained_bucket,target_ancestry,pgs_id,delta,delta_se,is_pooled,eur_k,tgt_k,eur_classes,tgt_classes,eur_covariates_txt,tgt_covariates_txt,covariate_matched,either_side_clinical,either_side_mixed_classes
Type 2 diabetes,Train: Multi incl. EUR,South Asian,PGS004859,0.1100000000000001,0.040580413499536054,FALSE,1,1,Age/sex/PCs/technical,Age/sex/PCs/technical,"age, sex, 10 principal components","age, sex, 10 principal components",TRUE,FALSE,FALSE
Type 2 diabetes,Train: Multi incl. EUR,Hispanic or Latin American,PGS005242,-0.008000000000000007,0.004905717679551949,FALSE,1,1,Clinical or other covariates,Clinical or other covariates,"age, sex, BMI, sub-study, and first 10 PCs","age, sex, BMI, sub-study, and first 10 PCs",TRUE,TRUE,FALSE
Breast Carcinoma,Train: European-only,African,PGS005345,-0.0199911315487884,0.03738606831998405,TRUE,6,2,Age/sex/PCs/technical | None (PRS only),Age/sex/PCs/technical | None (PRS only),- || Age-specific absolute risk adjusted by PGS relative risk,- || Age-specific absolute risk adjusted by PGS relative risk,FALSE,FALSE,TRUE
Breast Carcinoma,Train: European-only,South Asian,PGS005345,0.004085574400860215,0.02757802412885525,TRUE,6,2,Age/sex/PCs/technical | None (PRS only),Age/sex/PCs/technical | None (PRS only),- || Age-specific absolute risk adjusted by PGS relative risk,- || Age-specific absolute risk adjusted by PGS relative risk,FALSE,FALSE,TRUE
Breast Carcinoma,Train: European-only,African,PGS005346,-0.07442090066742368,0.03936606849612694,TRUE,6,2,Age/sex/PCs/technical | None (PRS only),Age/sex/PCs/technical | None (PRS only),- || Age-specific absolute risk adjusted by PGS relative risk,- || Age-specific absolute risk adjusted by PGS relative risk,FALSE,FALSE,TRUE
Breast Carcinoma,Train: European-only,South Asian,PGS005346,-0.008950364883240525,0.030300609799748184,TRUE,6,2,Age/sex/PCs/technical | None (PRS only),Age/sex/PCs/technical | None (PRS only),- || Age-specific absolute risk adjusted by PGS relative risk,- || Age-specific absolute risk adjusted by PGS relative risk,FALSE,FALSE,TRUE
Breast Carcinoma,Train: European-only,African,PGS005347,-0.06563962049225391,0.04004694825692812,TRUE,6,2,Age/sex/PCs/technical | None (PRS only),Age/sex/PCs/technical | None (PRS only),- || Age-specific absolute risk adjusted by PGS relative risk,- || Age-specific absolute risk adjusted by PGS relative risk,FALSE,FALSE,TRUE
Breast Carcinoma,Train: European-only,South Asian,PGS005347,0.005214462332007619,0.0305443708758145,TRUE,6,2,Age/sex/PCs/technical | None (PRS only),Age/sex/PCs/technical | None (PRS only),- || Age-specific absolute risk adjusted by PGS relative risk,- || Age-specific absolute risk adjusted by PGS relative risk,FALSE,FALSE,TRUE
Breast Carcinoma,Train: European-only,African,PGS005348,-0.054779971180556664,0.03718539291513926,TRUE,6,2,Age/sex/PCs/technical | None (PRS only),Age/sex/PCs/technical | None (PRS only),- || Age-specific absolute risk adjusted by PGS relative risk,- || Age-specific absolute risk adjusted by PGS relative risk,FALSE,FALSE,TRUE
Breast Carcinoma,Train: European-only,South Asian,PGS005348,-0.01602888154320037,0.03058211875357517,TRUE,6,2,Age/sex/PCs/technical | None (PRS only),Age/sex/PCs/technical | None (PRS only),- || Age-specific absolute risk adjusted by PGS relative risk,- || Age-specific absolute risk adjusted by PGS relative risk,FALSE,FALSE,TRUE
