trait_label,trained_bucket,target_ancestry,n_pairs,delta_fixed,se_fixed,lo_fixed,hi_fixed,sig_fixed,n_pairs_one_per_pss,delta_one_per_pss,se_one_per_pss,lo_one_per_pss,hi_one_per_pss,sig_one_per_pss,tau2_random,I2_stage2,delta_random,se_random,lo_random,hi_random,sig_random,eur_n_sample_sets,tgt_n_sample_sets,all_pgs_share_one_target_sample_set,all_pgs_share_one_eur_sample_set,re_applicable,n_delta_random,single_pgs_sensitivity,reduced_fixed_effect,robust_fixed_and_random,robustness
Colorectal cancer,Train: European-only,African,1,-0.10704898666120044,0.02780273585452884,-0.16154234893607697,-0.05255562438632392,TRUE,1,-0.10704898666120044,0.02780273585452884,-0.16154234893607697,-0.05255562438632392,TRUE,NA,NA,NA,NA,NA,NA,NA,2,2,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,significant; single ΔAUC (k = 1; random effects not applicable)
Incident chronic obstructive pulmonary disease before age 50 years,Train: European-only,African,2,-0.10399999999999998,0.01643296029943744,-0.13620860218689737,-0.07179139781310259,TRUE,1,-0.10399999999999998,0.023239715325403063,-0.14954984203778998,-0.05845015796220998,TRUE,NA,NA,NA,NA,NA,NA,NA,1,1,TRUE,TRUE,FALSE,NA,TRUE,FALSE,FALSE,significant in the fixed effect and in the single PGS for that target sample set
Incident coronary heart disease,Train: Multi incl. EUR,Hispanic or Latin American,3,-0.06898350648427742,0.009971690837213769,-0.08852802052521641,-0.049438992443338436,TRUE,1,-0.06800000000000006,0.017254772082143394,-0.10181935328100111,-0.03418064671899901,TRUE,NA,NA,NA,NA,NA,NA,NA,1,1,TRUE,TRUE,FALSE,NA,TRUE,FALSE,FALSE,significant in the fixed effect and in the single PGS for that target sample set
Breast Carcinoma,Train: European-only,African,4,-0.052769152071433685,0.019218429502422384,-0.09043727389618156,-0.015101030246685812,TRUE,1,-0.0199911315487884,0.03738606831998405,-0.09326782545595713,0.053285562358380334,FALSE,NA,NA,NA,NA,NA,NA,NA,3,1,TRUE,TRUE,FALSE,NA,TRUE,FALSE,FALSE,significant in the fixed effect only; the single PGS for that target sample set is not
Epithelial non-mucinous ovarian cancer,Train: European-only,East Asian,2,-0.051498874168417884,0.00958922905793968,-0.07029376312197966,-0.03270398521485611,TRUE,1,-0.04999999999999993,0.013556131433691379,-0.07657001761003504,-0.023429982389964833,TRUE,NA,NA,NA,NA,NA,NA,NA,1,1,TRUE,TRUE,FALSE,NA,TRUE,FALSE,FALSE,significant in the fixed effect and in the single PGS for that target sample set
Colorectal cancer,Train: European-only,Hispanic or Latin American,1,-0.05071728498401462,0.02431869340562888,-0.09838192405904722,-0.0030526459089820143,TRUE,1,-0.05071728498401462,0.02431869340562888,-0.09838192405904722,-0.0030526459089820143,TRUE,NA,NA,NA,NA,NA,NA,NA,2,2,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,significant; single ΔAUC (k = 1; random effects not applicable)
Breast cancer,Train: European-only,East Asian,1,-0.04832585954109281,0.02356378436844298,-0.09451087690324105,-0.0021408421789445714,TRUE,1,-0.04832585954109281,0.02356378436844298,-0.09451087690324105,-0.0021408421789445714,TRUE,NA,NA,NA,NA,NA,NA,NA,2,1,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,significant; single ΔAUC (k = 1; random effects not applicable)
Colorectal cancer,Train: European-only,East Asian,1,-0.04432621120828717,0.032772487540457584,-0.10856028678758403,0.019907864371009693,FALSE,1,-0.04432621120828717,0.032772487540457584,-0.10856028678758403,0.019907864371009693,FALSE,NA,NA,NA,NA,NA,NA,NA,2,1,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,not significant; single ΔAUC (k = 1; random effects not applicable)
Colorectal cancer,Train: Multi incl. EUR,African,2,-0.04178303950009832,0.007153722767796276,-0.055804336124979016,-0.02776174287521762,TRUE,1,-0.030000000000000023,0.009180255633153205,-0.047993301040980305,-0.012006698959019742,TRUE,NA,NA,NA,NA,NA,NA,NA,1,1,TRUE,TRUE,FALSE,NA,TRUE,FALSE,FALSE,significant in the fixed effect and in the single PGS for that target sample set
Colorectal cancer,Train: Multi incl. EUR,Hispanic or Latin American,2,-0.02500451012139637,0.006486593325997766,-0.03771823304035199,-0.012290787202440749,TRUE,1,-0.020000000000000018,0.009177568383813029,-0.03798803403227355,-0.0020119659677264833,TRUE,NA,NA,NA,NA,NA,NA,NA,1,1,TRUE,TRUE,FALSE,NA,TRUE,FALSE,FALSE,significant in the fixed effect and in the single PGS for that target sample set
