trait_label,pgs_id,trained_bucket,metric,target_ancestry,tgt_log,tgt_se,tgt_k,eur_log,eur_se,eur_k,is_pooled,delta,delta_se
Type 2 diabetes,PGS004859,Train: Multi incl. EUR,OR,Hispanic or Latin American,0.7371640659767196,0.042718021799393165,1,0.8458682675776092,0.02191063058174228,1,FALSE,-0.10870420160088967,0.048009427396533376
Type 2 diabetes,PGS004859,Train: Multi incl. EUR,OR,South Asian,0.8241754429663494,0.16731525147008006,1,0.8458682675776092,0.02191063058174228,1,FALSE,-0.021692824611259875,0.168743797240034
Type 2 diabetes,PGS005021,Train: Multi incl. EUR,OR,African,0.3569748989477304,0.028572718973595618,1,0.24373018492259815,0.014009121835743552,1,FALSE,0.11324471402513223,0.031822252656793136
Type 2 diabetes,PGS005021,Train: Multi incl. EUR,OR,Hispanic or Latin American,0.23822918873225055,0.03218145033849494,1,0.24373018492259815,0.014009121835743552,1,FALSE,-0.005500996190347607,0.035098450685147387
Type 2 diabetes,PGS005022,Train: Multi incl. EUR,OR,African,0.30601302913650447,0.03556620797187376,1,0.554459660786052,0.017600222318099885,1,FALSE,-0.24844663164954756,0.03968277932737471
Type 2 diabetes,PGS005022,Train: Multi incl. EUR,OR,Hispanic or Latin American,0.5452270504833231,0.038411443489636314,1,0.554459660786052,0.017600222318099885,1,FALSE,-0.009232610302728927,0.042251707854287564
Type 2 diabetes,PGS005023,Train: Multi incl. EUR,OR,African,0.19885085874516517,0.025112263472768518,1,0.2941610385494901,0.015234498648373,1,FALSE,-0.09531017980432493,0.029372022841354026
Type 2 diabetes,PGS005023,Train: Multi incl. EUR,OR,Hispanic or Latin American,0.504405055963068,0.043131716847942356,1,0.2941610385494901,0.015234498648373,1,FALSE,0.21024401741357784,0.04574314098658239
Type 2 diabetes,PGS005024,Train: Multi incl. EUR,OR,African,0.42330502623649535,0.026701689429563445,1,0.6004834956965259,0.016826012191785027,1,FALSE,-0.17717846946003057,0.031560971225089995
Type 2 diabetes,PGS005024,Train: Multi incl. EUR,OR,Hispanic or Latin American,0.5670169034157331,0.03328992064524709,1,0.6004834956965259,0.016826012191785027,1,FALSE,-0.03346659228079285,0.03730058314349719
Type 2 diabetes,PGS005025,Train: Multi incl. EUR,OR,African,0.41144717978571177,0.02705601325518478,1,0.530039842689795,0.015010331638503446,1,FALSE,-0.11859266290408321,0.0309408776404709
Type 2 diabetes,PGS005025,Train: Multi incl. EUR,OR,Hispanic or Latin American,0.5080216964332565,0.032217787072523485,1,0.530039842689795,0.015010331638503446,1,FALSE,-0.02201814625653853,0.035542873543768505
Type 2 diabetes,PGS005026,Train: Multi incl. EUR,OR,African,0.4246139269469252,0.031616556436418794,1,0.6502396795486688,0.017324287146992433,1,FALSE,-0.2256257526017436,0.036051873266845676
Type 2 diabetes,PGS005026,Train: Multi incl. EUR,OR,Hispanic or Latin American,0.5469646703818639,0.035446801044352494,1,0.6502396795486688,0.017324287146992433,1,FALSE,-0.10327500916680488,0.03945385443057948
Type 2 diabetes,PGS005027,Train: Multi incl. EUR,OR,African,0.3364722366212129,0.034550502779363314,1,0.21349717426240436,0.016463908453462045,1,FALSE,0.12297506235880853,0.038272673330599354
Type 2 diabetes,PGS005027,Train: Multi incl. EUR,OR,Hispanic or Latin American,0.17395330712343798,0.030046692769485555,1,0.21349717426240436,0.016463908453462045,1,FALSE,-0.039543867138966377,0.03426169913982426
Type 2 diabetes,PGS005028,Train: Multi incl. EUR,OR,African,0.39608794629556743,0.030855257759607804,1,0.6621723762605147,0.015784541764818246,1,FALSE,-0.2660844299649473,0.03465831343468879
Type 2 diabetes,PGS005028,Train: Multi incl. EUR,OR,Hispanic or Latin American,0.6429059641231986,0.036216903385302875,1,0.6621723762605147,0.015784541764818246,1,FALSE,-0.01926641213731617,0.039507162003181835
Type 2 diabetes,PGS005029,Train: Multi incl. EUR,OR,African,0.1906203596086497,0.025320142371260533,1,0.27763173659827955,0.015465464749090538,1,FALSE,-0.08701137698962985,0.02966968502708219
Type 2 diabetes,PGS005029,Train: Multi incl. EUR,OR,Hispanic or Latin American,0.4725005094443228,0.041286486084289274,1,0.27763173659827955,0.015465464749090538,1,FALSE,0.19486877284604326,0.044088031630971844
Type 2 diabetes,PGS005030,Train: Multi incl. EUR,OR,African,0.4101209196443583,0.02705601325518478,1,0.5440669575457926,0.016272892315135217,1,FALSE,-0.13394603790143428,0.0315726919594247
Type 2 diabetes,PGS005030,Train: Multi incl. EUR,OR,Hispanic or Latin American,0.5128236264286637,0.032024934934637005,1,0.5440669575457926,0.016272892315135217,1,FALSE,-0.031243331117128847,0.03592218648506408
Type 2 diabetes,PGS005031,Train: Multi incl. EUR,OR,African,0.4414755456311974,0.027916796185066865,1,0.6113946786876863,0.01798211167207771,1,FALSE,-0.16991913305648887,0.03320698494933916
Type 2 diabetes,PGS005031,Train: Multi incl. EUR,OR,Hispanic or Latin American,0.5458065926612362,0.03248454652464324,1,0.6113946786876863,0.01798211167207771,1,FALSE,-0.06558808602645005,0.03712953141501768
Type 2 diabetes,PGS005032,Train: Multi incl. EUR,OR,African,0.46937843385181716,0.03192937320255255,1,0.6423800635062922,0.017415298757398685,1,FALSE,-0.17300162965447502,0.036370008302409454
Type 2 diabetes,PGS005032,Train: Multi incl. EUR,OR,Hispanic or Latin American,0.5452270504833231,0.03406413077156188,1,0.6423800635062922,0.017415298757398685,1,FALSE,-0.09715301302296908,0.03825777876499786
Type 2 diabetes,PGS005033,Train: Multi incl. EUR,OR,African,0.49103099643781106,0.029678314307181066,1,0.6444820085786643,0.017415298757398685,1,FALSE,-0.15345101214085327,0.03441068105872478
Type 2 diabetes,PGS005033,Train: Multi incl. EUR,OR,Hispanic or Latin American,0.6349882663864131,0.03370356245596316,1,0.6444820085786643,0.017415298757398685,1,FALSE,-0.009493742192251187,0.037937089411715044
Type 2 diabetes,PGS005242,Train: Multi incl. EUR,OR,Hispanic or Latin American,0.62057648772511,0.01646390845346201,1,0.5766133643039938,0.024313821378654336,1,FALSE,0.04396312342111619,0.02936362020591273
