trait_label,trained_bucket,target_ancestry,n_pairs,delta_hat,se_hat,lo,hi,all_not_pooled,ci_excludes_zero,pooling_status,what_is_pooled,se_scale_note,delta_hat_rebuild,se_hat_rebuild,abs_diff,abs_diff_se
Epithelial non-mucinous ovarian cancer,Train: European-only,East Asian,2,-0.05149887416841788,0.00958922905793968,-0.07029376312197966,-0.03270398521485611,TRUE,TRUE,All single-eval cells,2 PGS-level ΔAUC values (same PGS in EUR vs East Asian),Published Figure 1C uses the delta-method SE; see 08_scale_fix_cells for the submitted logit-scale recalculation,-0.051498874168417884,0.00958922905793968,6.938893903907228e-18,0
Incident chronic obstructive pulmonary disease before age 50 years,Train: European-only,African,2,-0.10399999999999998,0.01643296029943744,-0.13620860218689737,-0.07179139781310259,TRUE,TRUE,All single-eval cells,2 PGS-level ΔAUC values (same PGS in EUR vs African),Published Figure 1C uses the delta-method SE; see 08_scale_fix_cells for the submitted logit-scale recalculation,-0.10399999999999998,0.01643296029943744,0,0
Incident coronary heart disease,Train: Multi incl. EUR,East Asian,3,-0.01795905630370568,0.00320660305583991,-0.02424399829315192,-0.01167411431425944,TRUE,TRUE,All single-eval cells,3 PGS-level ΔAUC values (same PGS in EUR vs East Asian),Published Figure 1C uses the delta-method SE; see 08_scale_fix_cells for the submitted logit-scale recalculation,-0.01795905630370568,0.0032066030558399183,0,8.239936510889834e-18
Incident coronary heart disease,Train: Multi incl. EUR,Hispanic or Latin American,3,-0.06898350648427742,0.00997169083721376,-0.08852802052521641,-0.04943899244333843,TRUE,TRUE,All single-eval cells,3 PGS-level ΔAUC values (same PGS in EUR vs Hispanic or Latin American),Published Figure 1C uses the delta-method SE; see 08_scale_fix_cells for the submitted logit-scale recalculation,-0.06898350648427742,0.009971690837213769,0,8.673617379884035e-18
Incident coronary heart disease,Train: Multi incl. EUR,South Asian,3,0.02416806490288468,0.00725074323321981,0.00995660816577384,0.03837952163999553,TRUE,TRUE,All single-eval cells,3 PGS-level ΔAUC values (same PGS in EUR vs South Asian),Published Figure 1C uses the delta-method SE; see 08_scale_fix_cells for the submitted logit-scale recalculation,0.024168064902884687,0.0072507432332198155,6.938893903907228e-18,5.204170427930421e-18
Seropositive RA,Train: Multi incl. EUR,South Asian,2,0.0489944982039778,0.02330966684126815,0.00330755119509221,0.0946814452128634,TRUE,TRUE,All single-eval cells,2 PGS-level ΔAUC values (same PGS in EUR vs South Asian),Published Figure 1C uses the delta-method SE; see 08_scale_fix_cells for the submitted logit-scale recalculation,0.048994498203977804,0.023309666841268156,6.938893903907228e-18,6.938893903907228e-18
Stroke excluding subarachnoid hemorrhage,Train: Multi incl. EUR,South Asian,10,-0.00305498290049007,0.0036040166141947,-0.01011885546431169,0.00400888966333155,FALSE,FALSE,Includes pooled Stage-1 cells,10 PGS-level ΔAUC values (same PGS in EUR vs South Asian),Published Figure 1C uses the delta-method SE; see 08_scale_fix_cells for the submitted logit-scale recalculation,-0.0030549829004900705,0.0036040166141947045,4.336808689942018e-19,4.336808689942018e-18
Type 2 diabetes,Train: European-only,East Asian,11,0.0178637653467731,0.00901061786670737,2.0295432802665617e-4,0.03552457636551956,TRUE,TRUE,All single-eval cells,11 PGS-level ΔAUC values (same PGS in EUR vs East Asian),Published Figure 1C uses the delta-method SE; see 08_scale_fix_cells for the submitted logit-scale recalculation,0.017863765346773107,0.009010617866707373,6.938893903907228e-18,3.469446951953614e-18
Type 2 diabetes,Train: European-only,Hispanic or Latin American,10,0.05214415483490029,0.00137200283010269,0.04945502928789901,0.05483328038190158,TRUE,TRUE,All single-eval cells,10 PGS-level ΔAUC values (same PGS in EUR vs Hispanic or Latin American),Published Figure 1C uses the delta-method SE; see 08_scale_fix_cells for the submitted logit-scale recalculation,0.05214415483490029,0.0013720028301026969,0,6.938893903907228e-18
Type 2 diabetes,Train: European-only,South Asian,12,-1.4476444030600506e-4,0.00205613041148832,-0.00417478004682311,0.0038852511662111,FALSE,FALSE,Includes pooled Stage-1 cells,12 PGS-level ΔAUC values (same PGS in EUR vs South Asian),Published Figure 1C uses the delta-method SE; see 08_scale_fix_cells for the submitted logit-scale recalculation,-1.4476444030600476e-4,0.002056130411488322,2.981555974335137e-19,1.734723475976807e-18
Type 2 diabetes,Train: Multi incl. EUR,African,1,-0.01903665632198348,0.00563600064918279,-0.03008321759438177,-0.00799009504958519,TRUE,TRUE,All single-eval cells,1 PGS-level ΔAUC values (same PGS in EUR vs African),Published Figure 1C uses the delta-method SE; see 08_scale_fix_cells for the submitted logit-scale recalculation,-0.01903665632198348,0.005636000649182799,0,8.673617379884035e-18
Type 2 diabetes,Train: Multi incl. EUR,East Asian,2,0.03561600100220171,0.0204478805637828,-0.00446184490281258,0.075693846907216,TRUE,FALSE,All single-eval cells,2 PGS-level ΔAUC values (same PGS in EUR vs East Asian),Published Figure 1C uses the delta-method SE; see 08_scale_fix_cells for the submitted logit-scale recalculation,0.03561600100220171,0.020447880563782807,0,6.938893903907228e-18
Type 2 diabetes,Train: Multi incl. EUR,Hispanic or Latin American,5,0.03567948272849689,0.00242723313196926,0.03092210578983714,0.04043685966715665,TRUE,TRUE,All single-eval cells,5 PGS-level ΔAUC values (same PGS in EUR vs Hispanic or Latin American),Published Figure 1C uses the delta-method SE; see 08_scale_fix_cells for the submitted logit-scale recalculation,0.0356794827284969,0.0024272331319692628,6.938893903907228e-18,2.6020852139652106e-18
Type 2 diabetes,Train: Multi incl. EUR,Middle Eastern or North African,1,0.00839999999999996,0.01003672923716453,-0.01127198930484252,0.02807198930484245,TRUE,FALSE,All single-eval cells,1 PGS-level ΔAUC values (same PGS in EUR vs Middle Eastern or North African),Published Figure 1C uses the delta-method SE; see 08_scale_fix_cells for the submitted logit-scale recalculation,0.008399999999999963,0.010036729237164534,3.469446951953614e-18,3.469446951953614e-18
Type 2 diabetes,Train: Multi incl. EUR,South Asian,2,0.01841874616049023,0.00769818056238598,0.0033303122582137,0.03350718006276676,TRUE,TRUE,All single-eval cells,2 PGS-level ΔAUC values (same PGS in EUR vs South Asian),Published Figure 1C uses the delta-method SE; see 08_scale_fix_cells for the submitted logit-scale recalculation,0.018418746160490235,0.007698180562385983,6.938893903907228e-18,3.469446951953614e-18
