catalog_snapshot,trait_label,trained_bucket,target_ancestry,side,evaluation_ancestry,pgs_id,pgs_name,dev_method,n_variants,performance_id,sampleset_id,auc,estimate_ci_lower,estimate_ci_upper,ci_source,n_individuals,n_cases,n_controls,pct_male,covariates_txt,cohort_txt,or_txt,hr_txt,catalog_all_of_us
20260923,Breast Carcinoma,Train: European-only,African,European,European,PGS005347,PRS-CS,PRS-CS,941932,PPM023149,PSS012137,0.673,0.634,0.712,reported_native_or_parsed,2654,194,2460,0,-,MCCS,NA,NA,FALSE
20260923,Breast Carcinoma,Train: European-only,African,European,European,PGS005347,PRS-CS,PRS-CS,941932,PPM023164,PSS012140,0.662,0.652,0.672,reported_native_or_parsed,212360,3083,209277,0,Age-specific absolute risk adjusted by PGS relative risk,UKB,NA,NA,FALSE
20260923,Breast Carcinoma,Train: European-only,African,European,European,PGS005347,PRS-CS,PRS-CS,941932,PPM023169,PSS012138,0.656,0.616,0.696,reported_native_or_parsed,8291,176,8115,0,Age-specific absolute risk adjusted by PGS relative risk,QSKIN,NA,NA,FALSE
20260923,Breast Carcinoma,Train: European-only,African,European,European,PGS005347,PRS-CS,PRS-CS,941932,PPM023174,PSS012137,0.663,0.625,0.701,reported_native_or_parsed,2654,194,2460,0,Age-specific absolute risk adjusted by PGS relative risk,MCCS,NA,NA,FALSE
20260923,Breast Carcinoma,Train: European-only,African,Target,African,PGS005347,PRS-CS,PRS-CS,941932,PPM023154,PSS012139,0.598,0.483,0.713,reported_native_or_parsed,4427,27,4400,0,-,UKB,NA,NA,FALSE
20260923,Breast Carcinoma,Train: European-only,African,Target,African,PGS005347,PRS-CS,PRS-CS,941932,PPM023179,PSS012139,0.592,0.489,0.695,reported_native_or_parsed,4427,27,4400,0,Age-specific absolute risk adjusted by PGS relative risk,UKB,NA,NA,FALSE
20260923,Breast Carcinoma,Train: European-only,African,European,European,PGS005348,SBayesR,SBayesR,789305,PPM023140,PSS012140,0.663,0.654,0.673,reported_native_or_parsed,212360,3083,209277,0,-,UKB,NA,NA,FALSE
20260923,Breast Carcinoma,Train: European-only,African,European,European,PGS005348,SBayesR,SBayesR,789305,PPM023145,PSS012138,0.65,0.611,0.69,reported_native_or_parsed,8291,176,8115,0,-,QSKIN,NA,NA,FALSE
20260923,Breast Carcinoma,Train: European-only,African,European,European,PGS005348,SBayesR,SBayesR,789305,PPM023150,PSS012137,0.666,0.627,0.706,reported_native_or_parsed,2654,194,2460,0,-,MCCS,NA,NA,FALSE
20260923,Breast Carcinoma,Train: European-only,African,European,European,PGS005348,SBayesR,SBayesR,789305,PPM023165,PSS012140,0.667,0.657,0.676,reported_native_or_parsed,212360,3083,209277,0,Age-specific absolute risk adjusted by PGS relative risk,UKB,NA,NA,FALSE
20260923,Breast Carcinoma,Train: European-only,African,European,European,PGS005348,SBayesR,SBayesR,789305,PPM023170,PSS012138,0.646,0.607,0.685,reported_native_or_parsed,8291,176,8115,0,Age-specific absolute risk adjusted by PGS relative risk,QSKIN,NA,NA,FALSE
