trait_label,trained_bucket,target_ancestry,n_pairs,all_not_pooled,k_eval_eur_min,k_eval_tgt_min,delta_log_ratio,se_log_ratio,tau2,Q_stage2,I2_stage2,lo_log_ratio,hi_log_ratio,sig_log_ratio,model,ratio_of_ratios,ratio_lo,ratio_hi,metrics_used,n_pairs_auc,delta_auc,lo_auc,hi_auc,sig_auc,in_figure1c,direction_agrees,both_significant_same_direction,sig_opposite_direction
Seropositive RA,Train: Multi incl. EUR,South Asian,2,TRUE,4,1,0.15058291713363336,0.09332784280118277,0,0.39906123941435645,0,-0.03233965475668485,0.3335054890239516,FALSE,fixed,1.162511693244385,0.9681776800714414,1.3958527083894412,OR,2,0.048994498203977804,0.003307551195092219,0.0946814452128634,TRUE,TRUE,TRUE,FALSE,FALSE
Stroke excluding subarachnoid hemorrhage,Train: Multi incl. EUR,South Asian,10,FALSE,4,2,-0.023011547372510984,0.01274984011014765,0,7.4212798574672565,0,-0.04800123398840038,0.001978139243378408,FALSE,fixed,0.9772511990244906,0.9531326109221931,1.0019800970515378,OR,10,-0.0030549829004900705,-0.010118855464311691,0.004008889663331551,FALSE,TRUE,TRUE,FALSE,FALSE
Type 2 diabetes,Train: European-only,East Asian,12,TRUE,1,1,-0.03882813180362307,0.03599992613509334,0,12.722032042197613,13.535825381399905,-0.10938798702840602,0.031731723421159874,FALSE,fixed,0.9619160177113475,0.8963825652137197,1.0322405421942218,OR,11,0.017863765346773107,2.0295432802665617e-4,0.03552457636551956,TRUE,TRUE,FALSE,FALSE,FALSE
Type 2 diabetes,Train: European-only,Hispanic or Latin American,12,TRUE,1,1,-0.1128813928165936,0.006088212426821511,0,82.85990620134575,86.72458067564003,-0.12481428917316376,-0.10094849646002343,TRUE,fixed,0.8932566004826895,0.8826608070329991,0.903979589835873,OR,10,0.05214415483490029,0.04945502928789901,0.05483328038190158,TRUE,TRUE,FALSE,FALSE,TRUE
Type 2 diabetes,Train: European-only,South Asian,12,TRUE,1,1,-0.0201418376251501,0.010296189759701296,0,18.029524083419744,38.98896083388143,-0.04032236955416464,3.8694303864439394e-5,FALSE,fixed,0.9800596541140674,0.9604797598074556,1.0000386950524986,OR,12,-1.4476444030600476e-4,-0.004174780046823115,0.003885251166211106,FALSE,TRUE,TRUE,FALSE,FALSE
Type 2 diabetes,Train: Multi incl. EUR,African,14,TRUE,1,1,-0.12729737163880436,0.008613435103697548,0,145.89031863577551,91.0891962389531,-0.14417970444205155,-0.11041503883555717,TRUE,fixed,0.8804718063193183,0.865732158165077,0.8954624064864447,OR,1,-0.01903665632198348,-0.03008321759438177,-0.007990095049585194,TRUE,TRUE,TRUE,TRUE,FALSE
Type 2 diabetes,Train: Multi incl. EUR,East Asian,3,TRUE,1,1,0.04553679721512998,0.021513306151195833,0,6.010184221024836,66.72314979957525,0.003370717158786146,0.08770287727147381,TRUE,fixed,1.046589515484952,1.0033764044141162,1.0916637157344904,OR,2,0.03561600100220171,-0.004461844902812588,0.075693846907216,FALSE,TRUE,TRUE,FALSE,FALSE
Type 2 diabetes,Train: Multi incl. EUR,Hispanic or Latin American,18,TRUE,1,1,-0.022225320236639985,0.008202019645468399,0,76.00054954928963,77.6317406902765,-0.038301278741758045,-0.006149361731521925,TRUE,fixed,0.978019842560334,0.962422939635494,0.9938695068968453,OR,5,0.0356794827284969,0.030922105789837145,0.040436859667156655,TRUE,TRUE,FALSE,FALSE,TRUE
Type 2 diabetes,Train: Multi incl. EUR,Middle Eastern or North African,1,TRUE,1,1,-0.005449604767564731,0.027453297608038413,0,NA,NA,-0.05925806807932002,0.04835885854419056,FALSE,fixed,0.9945652173913043,0.9424635180208482,1.0495472267423418,OR,1,0.008399999999999963,-0.011271989304842522,0.02807198930484245,FALSE,TRUE,FALSE,FALSE,FALSE
Type 2 diabetes,Train: Multi incl. EUR,South Asian,2,TRUE,1,1,0.024238792364379064,0.03675703836053648,0,0.07778207286297202,0,-0.047805002822272444,0.09628258755103057,FALSE,fixed,1.0245349398032013,0.9533196635980912,1.101070168757244,OR,2,0.018418746160490235,0.0033303122582137093,0.03350718006276676,TRUE,TRUE,TRUE,FALSE,FALSE
Breast cancer,Train: European-only,African,1,TRUE,5,1,-0.5016436676157149,0.13487215409143502,0,NA,NA,-0.7659930896349275,-0.23729424559650225,TRUE,fixed,0.6055345437753419,0.4648720420571914,0.7887591649577008,OR,NA,NA,NA,NA,NA,FALSE,NA,NA,NA
Breast cancer,Train: European-only,Hispanic or Latin American,1,TRUE,1,1,-0.07833184326990689,0.10109811765394366,0,NA,NA,-0.2764841538716365,0.1198204673318227,FALSE,fixed,0.9246575342465755,0.7584456374633762,1.1272944472308901,OR,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE
Incident coronary heart disease,Train: Multi incl. EUR,African,4,FALSE,3,2,-0.15971002559968298,0.021475525545466587,0,7.554898228098059,60.29066296561816,-0.2018020556687975,-0.11761799553056847,TRUE,fixed,0.8523909246801842,0.8172566832600231,0.8890356033294985,HR,NA,NA,NA,NA,NA,FALSE,NA,NA,NA
