performance_id,pgs_id,sampleset_id,reported_trait,ancestry_eval,auc,estimate_ci_lower,estimate_ci_upper,interval_issue
PPM000022,PGS000013,PSS000015,Coronary artery disease,European,0.81,0.81,0.81,non_positive_width
PPM000920,PGS000338,PSS000462,Atrial fibrillation,European,0.721,0.704,737,bound_outside_unit_interval
