ancestry_eval,n_total,share_reported,share_with_ci,delta_share
East Asian,3940,0.083248730964467,0.45406091370558377,0.37081218274111677
Hispanic or Latin American,554,0.12815884476534295,0.18772563176895307,0.05956678700361012
African,993,0.07955689828801611,0.11581067472306143,0.03625377643504532
European,11358,0.16798732171156894,0.2004754358161648,0.03248811410459587
South Asian,2505,0.20479041916167665,0.21596806387225548,0.011177644710578832
Middle Eastern or North African,785,0.27388535031847133,0.27770700636942675,0.003821656050955413
