performance_id,pgs_id,sampleset_id,reported_trait,ancestry_eval,train_bucket,auc_single,n_cases,n_controls,n_total,ci_lo_logit,ci_hi_logit
PPM000602,PGS000013,PSS000331,Coronary heart disease (incident and prevalent),African,Train: Multi incl. EUR,0.771,838,6759,7597,0.7511690957175866,0.7896929377140595
PPM000603,PGS000018,PSS000331,Coronary heart disease (incident and prevalent),African,Train: Multi incl. EUR,0.775,838,6759,7597,0.755258855811658,0.7935839937098786
PPM000604,PGS000011,PSS000335,Coronary heart disease (incident and prevalent),Hispanic or Latin American,Train: Multi incl. EUR,0.769,419,2074,2493,0.740094446117248,0.7955787498818142
PPM000605,PGS000013,PSS000335,Coronary heart disease (incident and prevalent),Hispanic or Latin American,Train: Multi incl. EUR,0.776,419,2074,2493,0.747320520273509,0.802285518284014
PPM000606,PGS000018,PSS000335,Coronary heart disease (incident and prevalent),Hispanic or Latin American,Train: Multi incl. EUR,0.794,419,2074,2493,0.7659606510133298,0.8194718084477043
PPM000610,PGS000200,PSS000333,Coronary heart disease (incident and prevalent),European,Train: Multi incl. EUR,0.748,8108,37537,45645,0.7414562474318029,0.7544329834141472
PPM000611,PGS000200,PSS000331,Coronary heart disease (incident and prevalent),African,Train: Multi incl. EUR,0.763,838,6759,7597,0.7429981121390307,0.781902135937021
PPM000612,PGS000200,PSS000335,Coronary heart disease (incident and prevalent),Hispanic or Latin American,Train: Multi incl. EUR,0.771,419,2074,2493,0.7421577753955566,0.7974962535382099
PPM000649,PGS000212,PSS000360,Breast cancer intrinsic-like subtype (luminal A-like),European,Train: European-only,0.6609,7325,20815,28140,0.6532933440239387,0.668424471035035
PPM000650,PGS000004,PSS000360,Breast cancer intrinsic-like subtype (luminal A-like),European,Train: European-only,0.6573,7325,20815,28140,0.6496797082517585,0.6648400451690516
PPM000651,PGS000005,PSS000360,Breast cancer intrinsic-like subtype (luminal A-like),European,Train: European-only,0.6595,7325,20815,28140,0.6518879717281651,0.6670305974918189
PPM000652,PGS000213,PSS000361,Breast cancer intrinsic-like subtype (luminal B/HER2-negative-like),European,Train: European-only,0.633,1779,20815,22594,0.6185338754116773,0.6472304126616943
PPM000653,PGS000004,PSS000361,Breast cancer intrinsic-like subtype (luminal B/HER2-negative-like),European,Train: European-only,0.6335999999999999,1779,20815,22594,0.6191347742573353,0.6478283365944243
PPM000654,PGS000005,PSS000361,Breast cancer intrinsic-like subtype (luminal B/HER2-negative-like),European,Train: European-only,0.6323,1779,20815,22594,0.6178328645946064,0.6465327957476177
PPM000655,PGS000214,PSS000362,Breast cancer intrinsic-like subtype (luminal B-like),European,Train: European-only,0.6431,1682,20815,22497,0.6282609714021311,0.6576694452517721
PPM000656,PGS000004,PSS000362,Breast cancer intrinsic-like subtype (luminal B-like),European,Train: European-only,0.6432,1682,20815,22497,0.6283612010534982,0.65776900586969
PPM000657,PGS000005,PSS000362,Breast cancer intrinsic-like subtype (luminal B-like),European,Train: European-only,0.64,1682,20815,22497,0.6251542831839292,0.654582621966581
PPM000658,PGS000215,PSS000359,Breast cancer intrinsic-like subtype (HER2-enriched-like),European,Train: European-only,0.6208,718,20815,21533,0.5983253625364718,0.6427679283775081
PPM000659,PGS000004,PSS000359,Breast cancer intrinsic-like subtype (HER2-enriched-like),European,Train: European-only,0.6093,718,20815,21533,0.5868475430506218,0.6312988912197703
PPM000660,PGS000005,PSS000359,Breast cancer intrinsic-like subtype (HER2-enriched-like),European,Train: European-only,0.6291,718,20815,21533,0.6066196543410117,0.6510346954658277
PPM000661,PGS000216,PSS000363,Breast cancer intrinsic-like subtype (triple negative),European,Train: European-only,0.6358,2006,20815,22821,0.6221389347314408,0.64924562110394
PPM000662,PGS000004,PSS000363,Breast cancer intrinsic-like subtype (triple negative),European,Train: European-only,0.5877,2006,20815,22821,0.5740411880916501,0.6012250866199432
PPM000663,PGS000005,PSS000363,Breast cancer intrinsic-like subtype (triple negative),European,Train: European-only,0.6276,2006,20815,22821,0.6139268108851679,0.6410720522657177
PPM000880,PGS000328,PSS000436,Systemic lupus erythematosus,European,Train: European-only,0.78,1001,2802,3803,0.7612652242263074,0.7976553434627927
PPM000882,PGS000328,PSS000438,Systemic lupus erythematosus,European,Train: European-only,0.71,5524,9859,15383,0.7011184962539591,0.7187234632504333
PPM000986,PGS000348,PSS000501,Prostate cancer,European,Train: Multi incl. EUR,0.64,1972,1919,3891,0.6225824587859515,0.657056503629918
PPM001340,PGS000655,PSS000583,Nonalcoholic fatty liver disease,European,Train: European-only,0.596,1106,8571,9677,0.57734012321617445,0.614386301565494
PPM001341,PGS000655,PSS000584,Nonalcoholic fatty liver disease severity (NAFLD activity score above 5),European,Train: European-only,0.724,79,156,235,0.646717043977417,0.7898699191285049
PPM001342,PGS000656,PSS000584,Nonalcoholic fatty liver disease severity (NAFLD activity score above 5),European,Train: European-only,0.76,79,156,235,0.684815576083528,0.8219137369826488
PPM001365,PGS000662,PSS000596,Prostate Cancer,European,Train: Multi incl. EUR,0.833,6852,193117,199969,0.8269272722046906,0.8389011606945442
PPM001369,PGS000663,PSS000598,Pancreatic cancer,European,Train: Multi incl. EUR,0.65,500,1091,1591,0.6194947956895638,0.6793255364245329
PPM001370,PGS000663,PSS000597,Pancreatic cancer (0-10 years of follow-up),European,Train: Multi incl. EUR,0.67,304,652,956,0.6309319412289675,0.7068539639623103
PPM001627,PGS000714,PSS000842,Metastatic prostate cancer,European,Train: European-only,0.549,191,2400,2591,0.5052747010135957,0.5919814394533909
PPM001670,PGS000730,PSS000871,Basal cell carcinoma,European,Train: European-only,0.624,16184,72740,88924,0.6190085602228402,0.628965243136579
PPM001671,PGS000731,PSS000873,Squamous cell carcinoma,European,Train: European-only,0.605,7914,81010,88924,0.5981287831696082,0.6118299767311184
PPM001672,PGS000732,PSS000872,Melanoma,European,Train: European-only,0.579,4179,84745,88924,0.5697298806571045,0.588214750514489
PPM001920,PGS000754,PSS000960,Systemic lupus erythematosus,European,Train: East Asian-only,0.65,910,430,1340,0.6193354401076429,0.6794727756791603
PPM001921,PGS000754,PSS000961,Systemic lupus erythematosus,European,Train: East Asian-only,0.65,2354,5379,7733,0.6361528273718401,0.6635988573853978
PPM001922,PGS000754,PSS000962,Systemic lupus erythematosus,European,Train: East Asian-only,0.62,406,706,1112,0.5846934221314232,0.6540808283737024
PPM001926,PGS000756,PSS000966,Incident narcolepsy,East Asian,Train: Multi incl. EUR,0.723,903,1981,2884,0.7014945662883031,0.7435225625644254
PPM001928,PGS000757,PSS000966,Incident narcolepsy,East Asian,Train: East Asian-only,0.736,903,1981,2884,0.7147659860355765,0.7561924604310188
PPM001989,PGS000770,PSS000992,Obesity prevalence,European,Train: Multi incl. EUR,0.661,50,127,177,0.5630490903175035,0.7468649995730381
PPM001990,PGS000770,PSS000991,Obesity prevalence,European,Train: Multi incl. EUR,0.619,39,102,141,0.5080928599329179,0.7187435088636704
PPM002022,PGS000779,PSS001005,Alzheimer's disease,East Asian,Train: Multi incl. EUR,0.612,33,79,112,0.49006708438178953,0.7213545896719125
PPM002023,PGS000779,PSS001006,Alzheimer's disease,European,Train: Multi incl. EUR,0.717,464,2232,2696,0.6882803975738249,0.7440575272384482
PPM002037,PGS000071,PSS001010,Incident blader cancer,European,Train: European-only,0.803,890,390998,391888,0.7849698100938578,0.819865299140698
PPM002038,PGS000072,PSS001011,Incident breast cancer,European,Train: Multi incl. EUR,0.637,4760,211513,216273,0.6283700951545629,0.6455425478013653
PPM002039,PGS000073,PSS001012,Incident cervical cancer,European,Train: European-only,0.745,282,211513,211795,0.710352110109989,0.7768055300698299
PPM002040,PGS000074,PSS001013,Incident colorectal cancer,European,Train: Multi incl. EUR,0.704,2725,390998,393723,0.6928440169810135,0.7149175164558064
PPM002041,PGS000075,PSS001014,Incident endometrial cancer,European,Train: Multi incl. EUR,0.755,643,211513,212156,0.7325306869233453,0.7761585254480986
PPM002042,PGS000076,PSS001015,Incident kidney cancer,European,Train: European-only,0.722,612,390998,391610,0.6984331911015736,0.7443991057864151
PPM002043,PGS000077,PSS001016,Incident Lymphocytic Leukemia,European,Train: Multi incl. EUR,0.719,340,390998,391338,0.6870857882765364,0.7488490523637643
PPM002044,PGS000078,PSS001017,Incident lung cancer,European,Train: European-only,0.846,1541,390998,392539,0.8333932308007823,0.8578155910852746
PPM002045,PGS000079,PSS001018,Incident melanoma,European,Train: European-only,0.652,1805,390998,392803,0.6380488312718223,0.6656951775482869
PPM002046,PGS000080,PSS001019,Incident non-hodgkin's lymphoma,European,Train: Multi incl. EUR,0.677,970,390998,391968,0.6580120154543364,0.6954217177904951
PPM002047,PGS000081,PSS001020,Incident oral cavity and pharyngeal cancer,European,Train: Multi incl. EUR,0.702,481,390998,391479,0.6750928355183892,0.7275780471940919
PPM002048,PGS000082,PSS001021,Incident ovarian cancer,European,Train: European-only,0.656,445,211513,211958,0.6276930883216965,0.6832407953723814
PPM002049,PGS000083,PSS001022,Incident pancreatic cancer,European,Train: Multi incl. EUR,0.745,493,390998,391491,0.7190489233504458,0.769323009488328
PPM002050,PGS000084,PSS001023,Incident prostate cancer,European,Train: Multi incl. EUR,0.74,4740,179485,184225,0.7317210966727895,0.7481113692518165
PPM002051,PGS000086,PSS001024,Incident testicular cancer,European,Train: European-only,0.783,52,179485,179537,0.6997780879178777,0.848158372560785
PPM002052,PGS000087,PSS001025,Incident thyroid cancer,European,Train: European-only,0.679,191,390998,391189,0.6355199635350742,0.7195818273468707
PPM002053,PGS000782,PSS001010,Incident blader cancer,European,Train: European-only,0.804,890,390998,391888,0.785994881160904,0.8208355777707146
PPM002054,PGS000783,PSS001011,Incident breast cancer,European,Train: European-only,0.637,4760,211513,216273,0.6283700951545629,0.6455425478013653
PPM002055,PGS000784,PSS001012,Incident cervical cancer,European,Train: European-only,0.745,282,211513,211795,0.710352110109989,0.7768055300698299
PPM002056,PGS000785,PSS001013,Incident colorectal cancer,European,Train: Multi incl. EUR,0.716,2725,390998,393723,0.7049167879123741,0.7268282496007813
PPM002057,PGS000786,PSS001014,Incident endometrial cancer,European,Train: Multi incl. EUR,0.754,643,211513,212156,0.7315120777589343,0.775183256339639
