pgs_id,ancestry_display,train_bucket,n_eval,cases_total,ctrls_total,auc_mean_w,auc_mean_unw,n_records,n_label
PGS000713,Hispanic or Latin American,Train: European-only,33652,4033,29619,0.7619999999999999,0.762,1,34K
PGS000713,Middle Eastern or North African,Train: European-only,6677,2466,4211,0.6692492300546193,0.7095,2,7K
PGS000729,European,Train: European-only,109021,10069,98952,0.712,0.712,1,109K
PGS000729,East Asian,Train: European-only,2581,281,2300,0.645835353208756,0.6665,2,3K
PGS000729,South Asian,Train: European-only,7844,1447,6397,0.7088619845009271,0.685,2,8K
PGS000729,Hispanic or Latin American,Train: European-only,33652,4033,29619,0.761,0.761,1,34K
PGS000804,European,Train: Multi incl. EUR,423729,19786,403943,0.825,0.825,1,424K
PGS000804,African,Train: Multi incl. EUR,15609,5972,9637,0.6701,0.6701,1,16K
PGS000804,Hispanic or Latin American,Train: Multi incl. EUR,20486,4137,16349,0.7293000000000001,0.7293,1,20K
PGS000804,Middle Eastern or North African,Train: Multi incl. EUR,11615,4935,6680,0.7454990472362802,0.7473333333333333,3,12K
PGS000805,European,Train: European-only,532750,29855,502895,0.7866891089865534,0.76615,2,533K
PGS000805,East Asian,Train: European-only,2581,281,2300,0.649224055711257,0.6735,2,3K
PGS000805,South Asian,Train: European-only,7844,1447,6397,0.7150236448678683,0.6975,2,8K
PGS000805,Hispanic or Latin American,Train: European-only,33652,4033,29619,0.764,0.764,1,34K
PGS000805,Middle Eastern or North African,Train: European-only,6677,2466,4211,0.6658370887017918,0.7050000000000001,2,7K
PGS000864,European,Train: European-only,109021,10069,98952,0.687,0.687,1,109K
PGS000864,East Asian,Train: European-only,2581,281,2300,0.6187271939050065,0.6419999999999999,2,3K
PGS000864,South Asian,Train: European-only,7844,1447,6397,0.6866421753913492,0.6679999999999999,2,8K
PGS000864,Hispanic or Latin American,Train: European-only,33652,4033,29619,0.745,0.745,1,34K
PGS000868,European,Train: European-only,109021,10069,98952,0.696,0.696,1,109K
PGS000868,East Asian,Train: European-only,2581,281,2300,0.6408228004337571,0.6655,2,3K
PGS000868,South Asian,Train: European-only,7844,1447,6397,0.7066766792661175,0.694,2,8K
PGS000868,Hispanic or Latin American,Train: European-only,33652,4033,29619,0.758,0.758,1,34K
PGS000868,Middle Eastern or North African,Train: European-only,6677,2466,4211,0.6657220781715846,0.7125,2,7K
PGS000925,European,Train: European-only,92330,10606,81724,0.5877794998105412,0.59194,2,92K
PGS000925,East Asian,Train: European-only,1704,112,1592,0.60323,0.60323,1,2K
PGS000925,South Asian,Train: European-only,7831,1025,6806,0.59639,0.59639,1,8K
PGS000927,European,Train: European-only,92330,8514,83816,0.5622410190734817,0.5566949999999999,2,92K
PGS000927,East Asian,Train: European-only,1704,143,1561,0.57706,0.57706,1,2K
PGS000927,South Asian,Train: European-only,7831,850,6981,0.58261,0.58261,1,8K
PGS000928,European,Train: European-only,92330,797,91533,0.7207065789767447,0.7181500000000001,2,92K
PGS000928,East Asian,Train: European-only,1704,32,1672,0.6964,0.6964,1,2K
PGS000928,South Asian,Train: European-only,7831,81,7750,0.77727,0.77727,1,8K
PGS000929,European,Train: European-only,92330,499,91831,0.8154146286287596,0.815295,2,92K
PGS000929,East Asian,Train: European-only,1704,2,1702,0.95182,0.95182,1,2K
PGS000929,South Asian,Train: European-only,7831,34,7797,0.82116,0.82116,1,8K
PGS000930,European,Train: European-only,64082,795,63287,0.6227722772008413,0.62478,2,64K
PGS000930,East Asian,Train: European-only,945,5,940,0.83468,0.83468,1,945
PGS000930,South Asian,Train: European-only,5381,36,5345,0.71068,0.71068,1,5K
PGS000931,European,Train: European-only,65708,2499,63209,0.6333707627483268,0.638115,2,66K
PGS000931,East Asian,Train: European-only,952,12,940,0.68652,0.68652,1,952
PGS000931,South Asian,Train: European-only,5480,136,5344,0.63964,0.63964,1,5K
PGS000932,European,Train: European-only,92330,4157,88173,0.5460505350025991,0.5502499999999999,2,92K
PGS000932,East Asian,Train: European-only,1704,37,1667,0.67311,0.67311,1,2K
PGS000932,South Asian,Train: European-only,7831,344,7487,0.59693,0.59693,1,8K
PGS000933,European,Train: European-only,92330,1303,91027,0.6725777284105784,0.66915,2,92K
PGS000933,East Asian,Train: European-only,8124,715,7409,0.536197640070906,0.6193466666666667,3,8K
PGS000933,South Asian,Train: European-only,7831,82,7749,0.68977,0.68977,1,8K
PGS000934,European,Train: European-only,92330,1284,91046,0.644534895682743,0.640935,2,92K
PGS000934,East Asian,Train: European-only,8124,718,7406,0.5313412950380829,0.5825566666666667,3,8K
PGS000934,South Asian,Train: European-only,7831,95,7736,0.6332,0.6332,1,8K
PGS000936,European,Train: European-only,92330,11909,80421,0.7301062038989706,0.73234,2,92K
PGS000936,East Asian,Train: European-only,1704,164,1540,0.72115,0.72115,1,2K
PGS000936,South Asian,Train: European-only,7831,1551,6280,0.68493,0.68493,1,8K
PGS000937,European,Train: European-only,92330,3038,89292,0.6396756405707683,0.643535,2,92K
PGS000937,East Asian,Train: European-only,1704,25,1679,0.71088,0.71088,1,2K
PGS000937,South Asian,Train: European-only,7831,172,7659,0.67258,0.67258,1,8K
PGS000938,European,Train: European-only,92330,4157,88173,0.6493431968143426,0.652625,2,92K
PGS000938,East Asian,Train: European-only,1704,31,1673,0.6963,0.6963,1,2K
PGS000938,South Asian,Train: European-only,7831,253,7578,0.67693,0.67693,1,8K
PGS000939,European,Train: European-only,92330,12527,79803,0.6535055773678361,0.65898,2,92K
PGS000939,East Asian,Train: European-only,1704,82,1622,0.63197,0.63197,1,2K
PGS000939,South Asian,Train: European-only,7831,920,6911,0.6624100000000002,0.66241,1,8K
PGS000941,European,Train: European-only,92330,473,91857,0.6641129332153459,0.6677299999999999,2,92K
PGS000941,East Asian,Train: European-only,1704,5,1699,0.8465,0.8465,1,2K
PGS000941,South Asian,Train: European-only,7831,65,7766,0.67356,0.67356,1,8K
PGS000942,European,Train: European-only,92330,3904,88426,0.6448377726477533,0.646425,2,92K
PGS000942,East Asian,Train: European-only,1704,48,1656,0.68844,0.68844,1,2K
PGS000942,South Asian,Train: European-only,7831,256,7575,0.65729,0.65729,1,8K
