pgs_id,train_bucket,pair,delta_auc,auc_A,auc_B
PGS000004,Train: European-only,African vs European,-0.08772969346906556,0.6641857718866676,0.576456078417602
PGS000011,Train: Multi incl. EUR,African vs European,0.013000000000000012,0.75,0.763
PGS000013,Train: Multi incl. EUR,African vs European,0.07418318688303449,0.6968168131169655,0.771
PGS000018,Train: Multi incl. EUR,African vs European,0.10218239035288823,0.6728176096471119,0.7750000000000001
PGS000022,NA,African vs European,-0.09860000000000002,0.8508,0.7522
PGS000023,Train: African-only,African vs European,0.02196352768955312,0.7894520068644928,0.8114155345540459
PGS000024,Train: European-only,African vs European,-0.03929723945795793,0.8700655356477494,0.8307682961897914
PGS000036,Train: Multi incl. EUR,African vs European,-0.148303830523148,0.722303830523148,0.574
PGS000039,Train: Multi incl. EUR,African vs European,-0.138,0.685,0.547
PGS000200,Train: Multi incl. EUR,African vs European,0.015000000000000013,0.748,0.763
PGS000662,Train: Multi incl. EUR,African vs European,0.12585097277360235,0.8351490272263976,0.961
PGS000804,Train: Multi incl. EUR,African vs European,-0.15489999999999993,0.825,0.6701
PGS002265,Train: European-only,African vs European,6.694821186747912e-5,0.5809330517881325,0.581
PGS002308,Train: Multi incl. EUR,African vs European,-0.06604574852179479,0.793,0.7269542514782052
PGS003850,Train: Multi incl. EUR,African vs European,-0.030000000000000138,0.6100000000000001,0.58
PGS003851,Train: European-only,African vs European,-0.11572463170681613,0.6422680485125143,0.5265434168056982
PGS003852,Train: Multi incl. EUR,African vs European,-0.06000000000000005,0.65,0.59
PGS004233,Train: Multi incl. EUR,African vs European,0,0.754,0.754
PGS004234,Train: Multi incl. EUR,African vs European,0,0.763,0.763
PGS004235,Train: Multi incl. EUR,African vs European,0,0.757,0.757
PGS004236,Train: Multi incl. EUR,African vs European,1.1102230246251565e-16,0.7639999999999999,0.764
PGS004859,Train: Multi incl. EUR,African vs European,-0.0037362374531423326,0.7585487642842496,0.7548125268311072
PGS005237,Train: Multi incl. EUR,African vs European,0.02530051207911299,0.770699487920887,0.796
PGS005238,Train: Multi incl. EUR,African vs European,0.017193682869997784,0.7808063171300023,0.798
PGS005239,Train: Multi incl. EUR,African vs European,0.027499179074317315,0.7725008209256827,0.8
PGS005240,Train: Multi incl. EUR,African vs European,0.0151515427572807,0.7778484572427193,0.793
PGS005241,Train: Multi incl. EUR,African vs European,0.03888101352421991,0.7491189864757801,0.788
PGS005345,Train: European-only,African vs European,-0.019333832785862648,0.6453338327858628,0.6260000000000001
PGS005346,Train: European-only,African vs European,-0.07539132864270015,0.6673913286427001,0.592
PGS005347,Train: European-only,African vs European,-0.06458342806250117,0.6625834280625011,0.598
PGS005348,Train: European-only,African vs European,-0.05508318354163777,0.6660831835416378,0.611
PGS005349,Train: European-only,African vs European,-0.04355466125736551,0.6485546612573655,0.605
PGS012555,Train: Multi incl. EUR,African vs European,-0.09407882609183804,0.8074693867112124,0.7133905606193743
PGS000004,Train: European-only,African vs East Asian,-0.06354392158239797,0.64,0.576456078417602
PGS000013,Train: Multi incl. EUR,African vs East Asian,-0.1489999999999999,0.9199999999999999,0.771
PGS000036,Train: Multi incl. EUR,African vs East Asian,-0.06812844918250649,0.6421284491825064,0.574
PGS000039,Train: Multi incl. EUR,African vs East Asian,-0.15408811333431505,0.7010881133343151,0.547
PGS000662,Train: Multi incl. EUR,African vs East Asian,0.040943300382190184,0.9200566996178098,0.961
PGS002265,Train: European-only,African vs East Asian,-0.010000000000000009,0.591,0.581
PGS002308,Train: Multi incl. EUR,African vs East Asian,-0.06435087461578282,0.7913051260939881,0.7269542514782052
PGS003851,Train: European-only,African vs East Asian,-0.07445658319430182,0.601,0.5265434168056982
PGS004859,Train: Multi incl. EUR,African vs East Asian,-0.04018747316889271,0.7949999999999999,0.7548125268311072
PGS012555,Train: Multi incl. EUR,African vs East Asian,-0.09660943938062572,0.81,0.7133905606193743
PGS000013,Train: Multi incl. EUR,African vs South Asian,-0.007495670752277195,0.7784956707522772,0.771
PGS000036,Train: Multi incl. EUR,African vs South Asian,-0.12587923643831123,0.6998792364383112,0.574
PGS004859,Train: Multi incl. EUR,African vs South Asian,-0.060187473168892835,0.8150000000000001,0.7548125268311072
PGS005237,Train: Multi incl. EUR,African vs South Asian,-0.04899999999999993,0.845,0.796
PGS005238,Train: Multi incl. EUR,African vs South Asian,-0.04399999999999993,0.842,0.798
