trait_id,trait_label,efo_id,efo_label,reported_trait,n_rows
custom:other_nonspecific_findings_on_examination_of_urine,Other nonspecific findings on examination of urine,NA,NA,Other nonspecific findings on examination of urine,5
custom:other_persistent_mental_disorders_due_to_conditions_classified_elsewhere,Other persistent mental disorders due to conditions classified elsewhere,NA,NA,Other persistent mental disorders due to conditions classified elsewhere,5
custom:other_retinal_disorders,Other retinal disorders,NA,NA,Other retinal disorders,5
custom:other_signs_and_symptoms_in_breast,Other signs and symptoms in breast,NA,NA,Other signs and symptoms in breast,5
custom:other_specified_disorders_involving_the_immune_mechanism,Other specified disorders involving the immune mechanism,NA,NA,Other specified disorders involving the immune mechanism,5
custom:other_specified_nonpsychotic_and_or_transient_mental_disorders,Other specified nonpsychotic and or transient mental disorders,NA,NA,Other specified nonpsychotic and or transient mental disorders,5
custom:other_venous_embolism_and_thrombosis,Other venous embolism and thrombosis,NA,NA,Other venous embolism and thrombosis,5
custom:pain_in_limb,Pain in limb,NA,NA,Pain in limb,5
custom:palindromic_rheumatism,Palindromic rheumatism,NA,NA,Palindromic rheumatism,5
custom:parasomnia,Parasomnia,NA,NA,Parasomnia,5
custom:parkinson_s_disease,Parkinson's disease,NA,NA,Parkinson's disease,5
custom:paroxysmal_tachycardia_unspecified,Paroxysmal tachycardia unspecified,NA,NA,Paroxysmal tachycardia unspecified,5
custom:peptic_ulcer_excl_esophageal,Peptic ulcer excl esophageal,NA,NA,Peptic ulcer excl esophageal,5
custom:periodontitis_acute_or_chronic,Periodontitis acute or chronic,NA,NA,Periodontitis acute or chronic,5
custom:peripheral_or_central_vertigo,Peripheral or central vertigo,NA,NA,Peripheral or central vertigo,5
custom:peripheral_retinal_degenerations,Peripheral retinal degenerations,NA,NA,Peripheral retinal degenerations,5
custom:pneumonia,Pneumonia,NA,NA,Pneumonia,5
custom:premature_beats,Premature beats,NA,NA,Premature beats,5
custom:radiographic_osteoarthritis,Radiographic osteoarthritis,NA,NA,Radiographic osteoarthritis,5
custom:renal_failure,Renal failure,NA,NA,Renal failure,5
custom:retention_of_urine,Retention of urine,NA,NA,Retention of urine,5
custom:retinal_detachments_and_defects,Retinal detachments and defects,NA,NA,Retinal detachments and defects,5
custom:rheumatism_unspecified_and_fibrositis,Rheumatism unspecified and fibrositis,NA,NA,Rheumatism unspecified and fibrositis,5
custom:rheumatoid_arthritis_and_other_inflammatory_polyarthropathies,Rheumatoid arthritis and other inflammatory polyarthropathies,NA,NA,Rheumatoid arthritis and other inflammatory polyarthropathies,5
custom:sciatica,Sciatica,NA,NA,Sciatica,5
custom:secondary_malignancy_of_bone,Secondary malignancy of bone,NA,NA,Secondary malignancy of bone,5
custom:secondary_malignant_neoplasm,Secondary malignant neoplasm,NA,NA,Secondary malignant neoplasm,5
custom:senile_dementia,Senile dementia,NA,NA,Senile dementia,5
custom:sensorineural_hearing_loss,Sensorineural hearing loss,NA,NA,Sensorineural hearing loss,5
custom:simple_and_unspecified_goiter,Simple and unspecified goiter,NA,NA,Simple and unspecified goiter,5
custom:sleep_related_movement_disorders,Sleep related movement disorders,NA,NA,Sleep related movement disorders,5
custom:specific_nonpsychotic_mental_disorders_due_to_brain_damage,Specific nonpsychotic mental disorders due to brain damage,NA,NA,Specific nonpsychotic mental disorders due to brain damage,5
custom:stomatitis_and_mucositis,Stomatitis and mucositis,NA,NA,Stomatitis and mucositis,5
custom:suppurative_and_unspecified_otitis_media,Suppurative and unspecified otitis media,NA,NA,Suppurative and unspecified otitis media,5
custom:symptoms_of_the_muscles,Symptoms of the muscles,NA,NA,Symptoms of the muscles,5
custom:temporomandibular_joint_disorders,Temporomandibular joint disorders,NA,NA,Temporomandibular joint disorders,5
custom:thyroid_cyst,Thyroid cyst,NA,NA,Thyroid cyst,5
custom:tinnitus,Tinnitus,NA,NA,Tinnitus,5
custom:unspecified_diffuse_connective_tissue_disease,Unspecified diffuse connective tissue disease,NA,NA,Unspecified diffuse connective tissue disease,5
custom:unspecified_disorder_of_lipoid_metabolism,Unspecified disorder of lipoid metabolism,NA,NA,Unspecified disorder of lipoid metabolism,5
custom:unspecified_polyarthropathy_or_polyarthritis,Unspecified polyarthropathy or polyarthritis,NA,NA,Unspecified polyarthropathy or polyarthritis,5
custom:urinary_tract_infection,Urinary tract infection,NA,NA,Urinary tract infection,5
custom:urticaria,Urticaria,NA,NA,Urticaria,5
custom:uterine_leiomyoma,Uterine leiomyoma,NA,NA,Uterine leiomyoma,5
custom:uveitis_noninfectious_or_nos,Uveitis noninfectious or NOS,NA,NA,Uveitis noninfectious or NOS,5
custom:vertiginous_syndromes_and_other_disorders_of_vestibular_system,Vertiginous syndromes and other disorders of vestibular system,NA,NA,Vertiginous syndromes and other disorders of vestibular system,5
custom:viral_hepatitis,Viral hepatitis,NA,NA,Viral hepatitis,5
custom:viral_warts_hpv,Viral warts HPV,NA,NA,Viral warts HPV,5
custom:visual_disturbances,Visual disturbances,NA,NA,Visual disturbances,5
custom:ad_all_cause_dementia,AD all cause dementia,NA,NA,AD all cause dementia,4
custom:ad_asthma,AD asthma,NA,NA,AD asthma,4
custom:ad_chronic_obstructive_pulmonary_disease,AD chronic obstructive pulmonary disease,NA,NA,AD chronic obstructive pulmonary disease,4
custom:ad_myocardial_infarction,AD myocardial infarction,NA,NA,AD myocardial infarction,4
custom:ad_nstemi,AD NSTEMI,NA,NA,AD NSTEMI,4
custom:alcohol_consumed,Alcohol consumed,NA,NA,Alcohol consumed,4
custom:alcohol_intake_versus_10_years_previously_more_nowadays_,Alcohol intake versus 10 years previously (More nowadays),NA,NA,Alcohol intake versus 10 years previously (More nowadays),4
custom:alzheimer_s_dementia_fh_,Alzheimer's/dementia (FH),NA,NA,Alzheimer's/dementia (FH),4
custom:any_cancer,Any Cancer,NA,NA,Any Cancer,4
custom:apparent_treatment_resistant_hypertension,Apparent Treatment-Resistant Hypertension,NA,NA,Apparent Treatment-Resistant Hypertension,4
custom:arthritis_nos_,Arthritis (nos),NA,NA,Arthritis (nos),4
custom:aspirin,Aspirin,NA,NA,Aspirin,4
custom:aspirin_use_self_reported,Aspirin use self-reported,NA,NA,Aspirin use self-reported,4
custom:asthma_diagnosed_by_doctor,Asthma diagnosed by doctor,NA,NA,Asthma diagnosed by doctor,4
custom:asthma_ever_at_age_8_years,"Asthma ever, at age 8 years",NA,NA,"Asthma ever, at age 8 years",4
custom:atherosclerotic_cardiovascular_disease_incident_and_prevalent_,Atherosclerotic cardiovascular disease (incident and prevalent),NA,NA,Atherosclerotic cardiovascular disease (incident and prevalent),4
custom:atrial_flutter,Atrial flutter,NA,NA,Atrial flutter,4
custom:blood_clot_diagnosed_by_doctor,Blood clot diagnosed by doctor,NA,NA,Blood clot diagnosed by doctor,4
custom:blood_clot_in_the_leg_dvt_,Blood clot in the leg (DVT),NA,NA,Blood clot in the leg (DVT),4
custom:blood_clot_in_the_leg_dvt_or_lung,Blood clot in the leg (DVT) or lung,NA,NA,Blood clot in the leg (DVT) or lung,4
custom:blood_clot_in_the_lung,Blood clot in the lung,NA,NA,Blood clot in the lung,4
custom:blood_clot_or_dvt_diagnosed_by_doctor,Blood clot or DVT diagnosed by doctor,NA,NA,Blood clot or DVT diagnosed by doctor,4
custom:breast_cancer_fh_,Breast cancer (FH),NA,NA,Breast cancer (FH),4
custom:cereal_type_biscuit_cereal_e_g_weetabix_,Cereal type: Biscuit cereal (e.g. Weetabix),NA,NA,Cereal type: Biscuit cereal (e.g. Weetabix),4
custom:cereal_type_other_e_g_cornflakes_frosties_,"Cereal type: Other (e.g. Cornflakes, Frosties)",NA,NA,"Cereal type: Other (e.g. Cornflakes, Frosties)",4
custom:cholecystitis,Cholecystitis,NA,NA,Cholecystitis,4
custom:chronic_bronchitis_emphysema_fh_,Chronic bronchitis/emphysema (FH),NA,NA,Chronic bronchitis/emphysema (FH),4
custom:chronic_obstructive_airways_disease_copd,Chronic obstructive airways disease/copd,NA,NA,Chronic obstructive airways disease/copd,4
custom:chronic_rhinosinusitis,Chronic rhinosinusitis,NA,NA,Chronic rhinosinusitis,4
custom:coffee_consumed,Coffee consumed,NA,NA,Coffee consumed,4
custom:coffee_type_ground_coffee_include_espresso_filter_etc_,"Coffee type: Ground coffee (include espresso, filter etc)",NA,NA,"Coffee type: Ground coffee (include espresso, filter etc)",4
custom:coffee_type_instant_coffee,Coffee type: Instant coffee,NA,NA,Coffee type: Instant coffee,4
custom:connective_tissue_disorder,Connective tissue disorder,NA,NA,Connective tissue disorder,4
custom:dentures,Dentures,NA,NA,Dentures,4
custom:diabetes,Diabetes,NA,NA,Diabetes,4
custom:diabetes_fh_,Diabetes (FH),NA,NA,Diabetes (FH),4
custom:diverticular_disease_diverticulitis,Diverticular disease/diverticulitis,NA,NA,Diverticular disease/diverticulitis,4
custom:doctor_diagnosed_asthma,Doctor diagnosed asthma,NA,NA,Doctor diagnosed asthma,4
custom:doctor_diagnosed_hayfever_or_allergic_rhinitis,Doctor diagnosed hayfever or allergic rhinitis,NA,NA,Doctor diagnosed hayfever or allergic rhinitis,4
custom:dvt,DVT,NA,NA,DVT,4
custom:dvt_diagnosed_by_doctor,DVT diagnosed by doctor,NA,NA,DVT diagnosed by doctor,4
custom:ease_of_skin_tanning_get_mildly_or_occasionally_tanned_,Ease of skin tanning (Get mildly or occasionally tanned),NA,NA,Ease of skin tanning (Get mildly or occasionally tanned),4
custom:ease_of_skin_tanning_get_moderately_tanned_,Ease of skin tanning (Get moderately tanned),NA,NA,Ease of skin tanning (Get moderately tanned),4
custom:ease_of_skin_tanning_get_very_tanned_,Ease of skin tanning (Get very tanned),NA,NA,Ease of skin tanning (Get very tanned),4
custom:ease_of_skin_tanning_never_tan_only_burn_,"Ease of skin tanning (Never tan, only burn)",NA,NA,"Ease of skin tanning (Never tan, only burn)",4
custom:eczema_dermatitis,Eczema/dermatitis,NA,NA,Eczema/dermatitis,4
custom:emphysema,Emphysema,NA,NA,Emphysema,4
custom:enlarged_prostate,Enlarged prostate,NA,NA,Enlarged prostate,4
custom:enthesitis_related_arthritis,Enthesitis-related Arthritis,NA,NA,Enthesitis-related Arthritis,4
custom:epithelial_non_mucinous_ovarian_cancer,Epithelial non-mucinous ovarian cancer,NA,NA,Epithelial non-mucinous ovarian cancer,4
custom:epithelial_ovarian_cancer,Epithelial ovarian cancer,NA,NA,Epithelial ovarian cancer,4
custom:estrogen_receptor_positive_breast_cancer_risk,estrogen-receptor positive breast cancer risk,NA,NA,estrogen-receptor positive breast cancer risk,4
custom:eye_problems_disorders_diabetic_eye_disease,Eye problems/disorders Diabetic eye disease,NA,NA,Eye problems/disorders Diabetic eye disease,4
custom:eye_problems_disorders_glaucoma,Eye problems/disorders Glaucoma,NA,NA,Eye problems/disorders Glaucoma,4
custom:eye_problems_disorders_macular_degeneration,Eye problems/disorders Macular degeneration,NA,NA,Eye problems/disorders Macular degeneration,4
custom:facial_ageing_about_your_age_,Facial ageing (About your age),NA,NA,Facial ageing (About your age),4
custom:facial_ageing_older_than_you_are_,Facial ageing (Older than you are),NA,NA,Facial ageing (Older than you are),4
custom:facial_ageing_younger_than_you_are_,Facial ageing (Younger than you are),NA,NA,Facial ageing (Younger than you are),4
custom:folic_acid_or_folate_vitamin_b9_,Folic acid or folate (Vitamin B9),NA,NA,Folic acid or folate (Vitamin B9),4
custom:fracture_forearm_wrist,Fracture forearm / wrist,NA,NA,Fracture forearm / wrist,4
custom:fracture_radius,Fracture radius,NA,NA,Fracture radius,4
custom:gallstones,Gallstones,NA,NA,Gallstones,4
custom:glucosamine,Glucosamine,NA,NA,Glucosamine,4
custom:haemorrhoids_piles,Haemorrhoids / piles,NA,NA,Haemorrhoids / piles,4
custom:hair_colour_natural_before_greying_black,"Hair colour (natural, before greying) black",NA,NA,"Hair colour (natural, before greying) black",4
custom:hair_colour_natural_before_greying_brown,"Hair colour (natural, before greying) brown",NA,NA,"Hair colour (natural, before greying) brown",4
custom:hair_colour_natural_before_greying_dark_brown,"Hair colour (natural, before greying) dark brown",NA,NA,"Hair colour (natural, before greying) dark brown",4
custom:hair_colour_natural_before_greying_light_brown,"Hair colour (natural, before greying) light brown",NA,NA,"Hair colour (natural, before greying) light brown",4
custom:hair_colour_natural_before_greying_other,"Hair colour (natural, before greying) other",NA,NA,"Hair colour (natural, before greying) other",4
custom:hayfever_allergic_rhinitis,Hayfever/allergic rhinitis,NA,NA,Hayfever/allergic rhinitis,4
custom:hayfever_allergic_rhinitis_or_eczema,Hayfever allergic rhinitis or eczema,NA,NA,Hayfever allergic rhinitis or eczema,4
custom:hayfever_rhinitis_or_eczema_diagnosed_by_doctor,Hayfever rhinitis or eczema diagnosed by doctor,NA,NA,Hayfever rhinitis or eczema diagnosed by doctor,4
custom:hearing_difficulty,Hearing difficulty,NA,NA,Hearing difficulty,4
custom:hearing_difficulty_and_deafness,Hearing difficulty and Deafness,NA,NA,Hearing difficulty and Deafness,4
custom:heart_attack_mi_,Heart attack (MI),NA,NA,Heart attack (MI),4
custom:hepatocellular_carcinoma,Hepatocellular carcinoma,NA,NA,Hepatocellular carcinoma,4
custom:hiatus_hernia,Hiatus hernia,NA,NA,Hiatus hernia,4
custom:high_bp_fh_,High BP (FH),NA,NA,High BP (FH),4
custom:high_cholesterol,High cholesterol,NA,NA,High cholesterol,4
custom:high_myopia_hm5_,High myopia (HM5),NA,NA,High myopia (HM5),4
custom:hodgkin_s_disease,Hodgkin's disease,NA,NA,Hodgkin's disease,4
custom:hyperthyroidism_thyrotoxicosis,Hyperthyroidism/thyrotoxicosis,NA,NA,Hyperthyroidism/thyrotoxicosis,4
custom:hypertrophic_cardiomyopathy,Hypertrophic cardiomyopathy,NA,NA,Hypertrophic cardiomyopathy,4
custom:hypothyroidism_myxoedema,Hypothyroidism/myxoedema,NA,NA,Hypothyroidism/myxoedema,4
custom:ibuprofen_e_g_nurofen_,Ibuprofen (e.g. Nurofen),NA,NA,Ibuprofen (e.g. Nurofen),4
custom:ibuprofen_use_self_reported,Ibuprofen use self-reported,NA,NA,Ibuprofen use self-reported,4
custom:incident_chronic_obstructive_pulmonary_disease_before_age_50_years,Incident chronic obstructive pulmonary disease before age 50 years,NA,NA,Incident chronic obstructive pulmonary disease before age 50 years,4
custom:incident_primary_breast_cancer,Incident primary breast cancer,NA,NA,Incident primary breast cancer,4
custom:jcv_seropositivity_for_human_polyomavirus_jcv,JCV seropositivity for Human Polyomavirus JCV,NA,NA,JCV seropositivity for Human Polyomavirus JCV,4
custom:juvenile_idiopathic_arthritis,Juvenile Idiopathic Arthritis,NA,NA,Juvenile Idiopathic Arthritis,4
custom:ldl_c_blood_concentration,LDL-c blood concentration,NA,NA,LDL-c blood concentration,4
custom:leisure_social_activities_attend_adult_edication_class_in_once_a_week_or_more_often_,Leisure/social activities (attend adult edication class in once a week or more often),NA,NA,Leisure/social activities (attend adult edication class in once a week or more often),4
custom:leisure_social_activities_attend_any_of_the_followings_in_once_a_week_or_more_often_sports_club_gym_pub_social_club_religious_group_adult_edication_class_or_other_group_activity_,"Leisure/social activities (attend any of the followings in once a week or more often: sports club, gym, pub, social club, religious group, adult edication class, or other group activity)",NA,NA,"Leisure/social activities (attend any of the followings in once a week or more often: sports club, gym, pub, social club, religious group, adult edication class, or other group activity)",4
custom:leisure_social_activities_attend_sports_club_or_gym_in_once_a_week_or_more_often_,Leisure/social activities (attend sports club or gym in once a week or more often),NA,NA,Leisure/social activities (attend sports club or gym in once a week or more often),4
custom:light_smokers_at_least_100_smokes_in_lifetime,"Light smokers, at least 100 smokes in lifetime",NA,NA,"Light smokers, at least 100 smokes in lifetime",4
custom:loneliness_isolation,"Loneliness, isolation",NA,NA,"Loneliness, isolation",4
custom:lung_cancer_fh_,Lung cancer (FH),NA,NA,Lung cancer (FH),4
custom:major_dietary_changes_in_the_last_5_years_becuase_of_illness,Major dietary changes in the last 5 years becuase of illness,NA,NA,Major dietary changes in the last 5 years becuase of illness,4
custom:male_genital_tract_cancer,Male genital tract cancer,NA,NA,Male genital tract cancer,4
custom:malignant_melanoma,Malignant melanoma,NA,NA,Malignant melanoma,4
custom:mcv_seropositivity_for_merkel_cell_polyomavirus,MCV seropositivity for Merkel Cell Polyomavirus,NA,NA,MCV seropositivity for Merkel Cell Polyomavirus,4
custom:microalbumin_40_mg_l,Microalbumin > 40 mg/L,NA,NA,Microalbumin > 40 mg/L,4
custom:milk_type_skimmed,Milk type: Skimmed,NA,NA,Milk type: Skimmed,4
custom:mouth_ulcers,Mouth ulcers,NA,NA,Mouth ulcers,4
custom:myocardial_injury_following_non_cardiac_surgery,Myocardial injury following non cardiac surgery,NA,NA,Myocardial injury following non cardiac surgery,4
custom:nasal_polyps,Nasal polyps,NA,NA,Nasal polyps,4
custom:nasal_polyps_in_individuals_with_chronic_rhinosinusitis,Nasal polyps in individuals with chronic rhinosinusitis,NA,NA,Nasal polyps in individuals with chronic rhinosinusitis,4
custom:never_eat_sugar,Never eat sugar,NA,NA,Never eat sugar,4
custom:never_eat_wheat,Never eat wheat,NA,NA,Never eat wheat,4
custom:never_smoker,Never Smoker,NA,NA,Never Smoker,4
custom:non_melanoma_skin_cancer,Non-melanoma skin cancer,NA,NA,Non-melanoma skin cancer,4
custom:obesity_bmi_30_,Obesity (BMI≥30),NA,NA,Obesity (BMI≥30),4
custom:obesity_in_individuals_aged_12_15_9,Obesity in individuals aged 12-15.9,NA,NA,Obesity in individuals aged 12-15.9,4
custom:obesity_in_individuals_aged_16_17_9,Obesity in individuals aged 16-17.9,NA,NA,Obesity in individuals aged 16-17.9,4
custom:obesity_in_individuals_aged_18_23_9,Obesity in individuals aged 18-23.9,NA,NA,Obesity in individuals aged 18-23.9,4
custom:obesity_in_individuals_aged_30_69_9,Obesity in individuals aged 30-69.9,NA,NA,Obesity in individuals aged 30-69.9,4
custom:occurrence_of_breast_cancer,Occurrence of breast cancer,NA,NA,Occurrence of breast cancer,4
custom:oestradiol_212_pmol_l,Oestradiol > 212 pmol/L,NA,NA,Oestradiol > 212 pmol/L,4
custom:often_felt_loved_as_a_child,Often felt loved as a child,NA,NA,Often felt loved as a child,4
custom:oligoarthritis_juvenile_idiophatic_arthritis,Oligoarthritis Juvenile Idiophatic Arthritis,NA,NA,Oligoarthritis Juvenile Idiophatic Arthritis,4
custom:osteoarthritis,Osteoarthritis,NA,NA,Osteoarthritis,4
custom:osteoporosis,Osteoporosis,NA,NA,Osteoporosis,4
custom:overweight_in_individuals_aged_12_15_9,Overweight in individuals aged 12-15.9,NA,NA,Overweight in individuals aged 12-15.9,4
custom:overweight_in_individuals_aged_14_29_9,Overweight in individuals aged 14-29.9,NA,NA,Overweight in individuals aged 14-29.9,4
custom:overweight_in_individuals_aged_16_17_9,Overweight in individuals aged 16-17.9,NA,NA,Overweight in individuals aged 16-17.9,4
custom:overweight_in_individuals_aged_18_23_9,Overweight in individuals aged 18-23.9,NA,NA,Overweight in individuals aged 18-23.9,4
custom:overweight_in_individuals_aged_30_69_9,Overweight in individuals aged 30-69.9,NA,NA,Overweight in individuals aged 30-69.9,4
custom:pancreatic_cancer,Pancreatic cancer,NA,NA,Pancreatic cancer,4
custom:paracetamol_use_self_reported,Paracetamol use self-reported,NA,NA,Paracetamol use self-reported,4
custom:past_tobacco_smoking_smoked_at_least_once_,Past tobacco smoking (Smoked at least once),NA,NA,Past tobacco smoking (Smoked at least once),4
custom:past_tobacco_smoking_smoked_occasionally_,Past tobacco smoking (Smoked occasionally),NA,NA,Past tobacco smoking (Smoked occasionally),4
custom:pe_dvt,PE +/- DVT,NA,NA,PE +/- DVT,4
custom:pediatric_asthma,Pediatric asthma,NA,NA,Pediatric asthma,4
custom:polymyalgia_rheumatica,Polymyalgia rheumatica,NA,NA,Polymyalgia rheumatica,4
custom:prevelant_hypertension,Prevelant hypertension,NA,NA,Prevelant hypertension,4
custom:previous_smoker,Previous Smoker,NA,NA,Previous Smoker,4
custom:primary_open_angle_glaucoma_poag_,Primary open-angle glaucoma (POAG),NA,NA,Primary open-angle glaucoma (POAG),4
custom:prolapsed_disc_slipped_disc,Prolapsed disc/slipped disc,NA,NA,Prolapsed disc/slipped disc,4
custom:prostate_cancer_fh_,Prostate cancer (FH),NA,NA,Prostate cancer (FH),4
custom:pulmonary_fibrosis,Pulmonary fibrosis,NA,NA,Pulmonary fibrosis,4
custom:retinal_detachment,Retinal detachment,NA,NA,Retinal detachment,4
custom:rheumatoid_arhtirits_diagnosis_in_patient_with_arthritis,Rheumatoid arhtirits diagnosis in patient with arthritis,NA,NA,Rheumatoid arhtirits diagnosis in patient with arthritis,4
custom:rheumatoid_factor_16_iu_ml,Rheumatoid factor > 16 IU/mL,NA,NA,Rheumatoid factor > 16 IU/mL,4
custom:rheumatoid_factor_negative_polyarthritis,Rheumatoid-factor-negative Polyarthritis,NA,NA,Rheumatoid-factor-negative Polyarthritis,4
custom:risk_of_hospitalization_covid_19_,Risk of hospitalization (COVID-19),NA,NA,Risk of hospitalization (COVID-19),4
custom:risk_of_severe_disease_covid_19_,Risk of severe disease (COVID-19),NA,NA,Risk of severe disease (COVID-19),4
custom:risk_taking,Risk taking,NA,NA,Risk taking,4
custom:schizophrenia,Schizophrenia,NA,NA,Schizophrenia,4
custom:sensitivity_hurt_feelings,Sensitivity / hurt feelings,NA,NA,Sensitivity / hurt feelings,4
custom:sjogren_s_syndrome_sicca_syndrome,Sjogren's syndrome/sicca syndrome,NA,NA,Sjogren's syndrome/sicca syndrome,4
custom:snoring,Snoring,NA,NA,Snoring,4
custom:started_insulin_within_one_year_diagnosis_of_diabetes,Started insulin within one year diagnosis of diabetes,NA,NA,Started insulin within one year diagnosis of diabetes,4
custom:suffer_from_nerves_,Suffer from 'nerves',NA,NA,Suffer from 'nerves',4
custom:taking_other_prescription_medications,Taking other prescription medications,NA,NA,Taking other prescription medications,4
custom:tobacco_smoking_ever_vs_no,Tobacco smoking ever vs no,NA,NA,Tobacco smoking ever vs no,4
custom:total_hip_replacement,Total hip replacement,NA,NA,Total hip replacement,4
custom:tte_acute_appendicitis,TTE acute appendicitis,NA,NA,TTE acute appendicitis,4
custom:tte_acute_myocardial_infarction,TTE acute myocardial infarction,NA,NA,TTE acute myocardial infarction,4
custom:tte_angina_pectoris,TTE angina pectoris,NA,NA,TTE angina pectoris,4
custom:tte_ankylosing_spondylitis,TTE ankylosing spondylitis,NA,NA,TTE ankylosing spondylitis,4
custom:tte_asthma,TTE asthma,NA,NA,TTE asthma,4
custom:tte_atrial_fibrillation_and_flutter,TTE atrial fibrillation and flutter,NA,NA,TTE atrial fibrillation and flutter,4
custom:tte_calculus_of_kidney_and_ureter,TTE calculus of kidney and ureter,NA,NA,TTE calculus of kidney and ureter,4
custom:tte_cholecystitis,TTE cholecystitis,NA,NA,TTE cholecystitis,4
custom:tte_cholelithiasis,TTE cholelithiasis,NA,NA,TTE cholelithiasis,4
custom:tte_chronic_ischaemic_heart_disease,TTE chronic ischaemic heart disease,NA,NA,TTE chronic ischaemic heart disease,4
custom:tte_chronic_renal_failure,TTE chronic renal failure,NA,NA,TTE chronic renal failure,4
custom:tte_coxarthrosis_arthrosis_of_hip_,TTE coxarthrosis [arthrosis of hip],NA,NA,TTE coxarthrosis [arthrosis of hip],4
custom:tte_crohn_s_disease_regional_enteritis_,TTE crohn's disease [regional enteritis],NA,NA,TTE crohn's disease [regional enteritis],4
custom:tte_diaphragmatic_hernia,TTE diaphragmatic hernia,NA,NA,TTE diaphragmatic hernia,4
custom:tte_disorders_of_lipoprotein_metabolism_and_other_lipidaemias,TTE disorders of lipoprotein metabolism and other lipidaemias,NA,NA,TTE disorders of lipoprotein metabolism and other lipidaemias,4
custom:tte_disorders_of_mineral_metabolism,TTE disorders of mineral metabolism,NA,NA,TTE disorders of mineral metabolism,4
custom:tte_diverticular_disease_of_intestine,TTE diverticular disease of intestine,NA,NA,TTE diverticular disease of intestine,4
custom:tte_duodenal_ulcer,TTE duodenal ulcer,NA,NA,TTE duodenal ulcer,4
custom:tte_essential_primary_hypertension_,TTE essential (primary hypertension),NA,NA,TTE essential (primary hypertension),4
custom:tte_fibroblastic_disorders,TTE fibroblastic disorders,NA,NA,TTE fibroblastic disorders,4
custom:tte_follicular_cysts_of_skin_and_subcutaneous_tissue,TTE follicular cysts of skin and subcutaneous tissue,NA,NA,TTE follicular cysts of skin and subcutaneous tissue,4
custom:tte_glaucoma,TTE glaucoma,NA,NA,TTE glaucoma,4
custom:tte_gonarthrosis_arthrosis_of_knee_,TTE gonarthrosis [arthrosis of knee],NA,NA,TTE gonarthrosis [arthrosis of knee],4
custom:tte_gout,TTE gout,NA,NA,TTE gout,4
custom:tte_hyperplasia_of_prostate,TTE hyperplasia of prostate,NA,NA,TTE hyperplasia of prostate,4
custom:tte_inguinal_hernia,TTE inguinal hernia,NA,NA,TTE inguinal hernia,4
custom:tte_insulin_dependent_diabetes_mellitus,TTE insulin-dependent diabetes mellitus,NA,NA,TTE insulin-dependent diabetes mellitus,4
custom:tte_internal_derangement_of_knee,TTE internal derangement of knee,NA,NA,TTE internal derangement of knee,4
custom:tte_iridocyclitis,TTE iridocyclitis,NA,NA,TTE iridocyclitis,4
custom:tte_migraine,TTE migraine,NA,NA,TTE migraine,4
custom:tte_nasal_polyp,TTE nasal polyp,NA,NA,TTE nasal polyp,4
custom:tte_non_insulin_dependent_diabetes_mellitus,TTE non-insulin-dependent diabetes mellitus,NA,NA,TTE non-insulin-dependent diabetes mellitus,4
custom:tte_nonrheumatic_aortic_valve_disorders,TTE nonrheumatic aortic valve disorders,NA,NA,TTE nonrheumatic aortic valve disorders,4
custom:tte_obesity,TTE obesity,NA,NA,TTE obesity,4
custom:tte_osteoporosis_without_pathological_fracture,TTE osteoporosis without pathological fracture,NA,NA,TTE osteoporosis without pathological fracture,4
custom:tte_other_cataract,TTE other cataract,NA,NA,TTE other cataract,4
custom:tte_other_chronic_obstructive_pulmonary_disease,TTE other chronic obstructive pulmonary disease,NA,NA,TTE other chronic obstructive pulmonary disease,4
custom:tte_other_coagulation_defects,TTE other coagulation defects,NA,NA,TTE other coagulation defects,4
custom:tte_other_dermatitis,TTE other dermatitis,NA,NA,TTE other dermatitis,4
custom:tte_other_diseases_of_intestine,TTE other diseases of intestine,NA,NA,TTE other diseases of intestine,4
custom:tte_other_diseases_of_liver,TTE other diseases of liver,NA,NA,TTE other diseases of liver,4
custom:tte_other_disorders_of_cornea,TTE other disorders of cornea,NA,NA,TTE other disorders of cornea,4
custom:tte_other_disorders_of_pancreatic_internal_secretion,TTE other disorders of pancreatic internal secretion,NA,NA,TTE other disorders of pancreatic internal secretion,4
custom:tte_other_hypothyroidism,TTE other hypothyroidism,NA,NA,TTE other hypothyroidism,4
custom:tte_other_interstitial_pulmonary_diseases,TTE other interstitial pulmonary diseases,NA,NA,TTE other interstitial pulmonary diseases,4
custom:tte_other_intervertebral_disk_disorders,TTE other intervertebral disk disorders,NA,NA,TTE other intervertebral disk disorders,4
custom:tte_other_non_toxic_goitre,TTE other non-toxic goitre,NA,NA,TTE other non-toxic goitre,4
custom:tte_other_retinal_disorders,TTE other retinal disorders,NA,NA,TTE other retinal disorders,4
custom:tte_other_rheumatoid_arthritis,TTE other rheumatoid arthritis,NA,NA,TTE other rheumatoid arthritis,4
custom:tte_other_systemic_involvement_of_connective_tissue,TTE other systemic involvement of connective tissue,NA,NA,TTE other systemic involvement of connective tissue,4
custom:tte_pe,TTE PE,NA,NA,TTE PE,4
custom:tte_phlebitis_and_thrombophlebitis,TTE phlebitis and thrombophlebitis,NA,NA,TTE phlebitis and thrombophlebitis,4
custom:tte_psoriasis,TTE psoriasis,NA,NA,TTE psoriasis,4
