trait_id,trait_label,efo_id,efo_label,reported_trait,n_rows
custom:chronic_thyroiditis,Chronic thyroiditis,NA,NA,Chronic thyroiditis,6
custom:coronary_artery_disease_prevalent_,Coronary artery disease (prevalent),NA,NA,Coronary artery disease (prevalent),6
custom:diabetes_autoantibody_positive_insulin_sensitive,Diabetes autoantibody positive insulin sensitive,NA,NA,Diabetes autoantibody positive insulin sensitive,6
custom:diabetes_mellitus,Diabetes mellitus,NA,NA,Diabetes mellitus,6
custom:diabetes_type_2_with_peripheral_circulatory_disorders,Diabetes type 2 with peripheral circulatory disorders,NA,NA,Diabetes type 2 with peripheral circulatory disorders,6
custom:diabetic_retinopathy,Diabetic retinopathy,NA,NA,Diabetic retinopathy,6
custom:diffuse_diseases_of_connective_tissue,Diffuse diseases of connective tissue,NA,NA,Diffuse diseases of connective tissue,6
custom:endometriosis,Endometriosis,NA,NA,Endometriosis,6
custom:erythematous_conditions,Erythematous conditions,NA,NA,Erythematous conditions,6
custom:gout_and_other_crystal_arthropathies,Gout and other crystal arthropathies,NA,NA,Gout and other crystal arthropathies,6
custom:gouty_arthropathy,Gouty arthropathy,NA,NA,Gouty arthropathy,6
custom:graves_disease,Graves disease,NA,NA,Graves disease,6
custom:hydronephrosis,Hydronephrosis,NA,NA,Hydronephrosis,6
custom:hypertensive_heart_and_or_renal_disease,Hypertensive heart and or renal disease,NA,NA,Hypertensive heart and or renal disease,6
custom:hypertensive_heart_disease,Hypertensive heart disease,NA,NA,Hypertensive heart disease,6
custom:hypothyroidism,Hypothyroidism,NA,NA,Hypothyroidism,6
custom:hypothyroidism_nos,Hypothyroidism NOS,NA,NA,Hypothyroidism NOS,6
custom:incident_invasive_melanoma,Incident invasive melanoma,NA,NA,Incident invasive melanoma,6
custom:incident_lung_cancer,Incident lung cancer,NA,NA,Incident lung cancer,6
custom:lupus_localized_and_systemic,Lupus localized and systemic,NA,NA,Lupus localized and systemic,6
custom:lymphoid_leukemia_chronic,"Lymphoid leukemia, chronic",NA,NA,"Lymphoid leukemia, chronic",6
custom:melanoma,Melanoma,NA,NA,Melanoma,6
custom:multiple_myeloma,Multiple myeloma,NA,NA,Multiple myeloma,6
custom:nephritis_and_nephropathy_in_diseases_classified_elsewhere,Nephritis and nephropathy in diseases classified elsewhere,NA,NA,Nephritis and nephropathy in diseases classified elsewhere,6
custom:nephritis_and_nephropathy_with_pathological_lesion,Nephritis and nephropathy with pathological lesion,NA,NA,Nephritis and nephropathy with pathological lesion,6
custom:obesity,Obesity,NA,NA,Obesity,6
