target_ancestry,delta_hat,se_hat,lo,hi,k,pool
African,0.007348232995708675,0.005186163037152072,-0.0028166465571093854,0.017513112548526735,4,All 4 pairs
African,0.013999775395839898,0.007398064055286046,-5.004301525207509e-4,0.028499980944200545,2,2 matched pairs
Hispanic or Latin American,0.016967870992337448,0.007173286386234231,0.002908229675318355,0.03102751230935654,4,All 4 pairs
Hispanic or Latin American,0.02100480383912472,0.010267693177376379,8.801252114670165e-4,0.04112948246678243,2,2 matched pairs
